Entry(0): Poverty: 2.4, State: Utah, County: Morgan County, Income: 86071, Total Pop: 11014
Entry(21): Poverty: 4.6, State: Tennessee, County: Williamson County, Income: 103543, Total Pop: 212161
Entry(22): Poverty: 4.7, State: South Dakota, County: Campbell County, Income: 51548, Total Pop: 1443
Entry(23): Poverty: 4.7, State: Virginia, County: Stafford County, Income: 103005, Total Pop: 141159
Entry(24): Poverty: 4.8, State: Colorado, County: Elbert County, Income: 92849, Total Pop: 24553
Entry(25): Poverty: 4.8, State: Wisconsin, County: St. Croix County, Income: 77768, Total Pop: 87142
Entry(26): Poverty: 4.8, State: North Dakota, County: Renville County, Income: 66023, Total Pop: 2543
Entry(27): Poverty: 4.8, State: New York, County: Putnam County, Income: 99608, Total Pop: 99464
Entry(28): Poverty: 4.8, State: Kansas, County: Sheridan County, Income: 56607, Total Pop: 2497
Entry(29): Poverty: 4.8, State: New Jersey, County: Somerset County, Income: 106046, Total Pop: 333316
Entry(30): Poverty: 4.8, State: New Hampshire, County: Rockingham County, Income: 85619, Total Pop: 302479
Entry(31): Poverty: 4.8, State: Nebraska, County: Perkins County, Income: 58125, Total Pop: 2904
Entry(32): Poverty: 4.8, State: Kansas, County: Trego County, Income: 55197, Total Pop: 2899
Entry(33): Poverty: 4.9, State: Iowa, County: Lyon County, Income: 62012, Total Pop: 11745
Entry(34): Poverty: 4.9, State: Virginia, County: Poquoson city, Income: 88328, Total Pop: 12022
Entry(35): Poverty: 5.0, State: Wisconsin, County: Waukesha County, Income: 81140, Total Pop: 396731
Entry(36): Poverty: 5.0, State: Minnesota, County: Wright County, Income: 77953, Total Pop: 131130
Entry(37): Poverty: 5.0, State: Indiana, County: Ohio County, Income: 58359, Total Pop: 5911
Entry(38): Poverty: 5.0, State: Indiana, County: Hamilton County, Income: 90582, Total Pop: 309687
Entry(39): Poverty: 5.0, State: Minnesota, County: Washington County, Income: 89598, Total Pop: 250979
Entry(40): Poverty: 5.1, State: Wyoming, County: Crook County, Income: 66944, Total Pop: 7347
Entry(41): Poverty: 5.1, State: Montana, County: Garfield County, Income: 47188, Total Pop: 1086
Entry(42): Poverty: 5.1, State: Ohio, County: Delaware County, Income: 100229, Total Pop: 193024
Entry(43): Poverty: 5.1, State: Indiana, County: Hendricks County, Income: 74245, Total Pop: 158170
Entry(44): Poverty: 5.1, State: Virginia, County: New Kent County, Income: 78429, Total Pop: 20523
Entry(45): Poverty: 5.1, State: New Mexico, County: Los Alamos County, Income: 110190, Total Pop: 18031
Entry(46): Poverty: 5.1, State: Ohio, County: Warren County, Income: 79397, Total Pop: 223868
Entry(47): Poverty: 5.2, State: Virginia, County: York County, Income: 86781, Total Pop: 67196
Entry(48): Poverty: 5.2, State: Colorado, County: Broomfield County, Income: 85639, Total Pop: 64283
Entry(49): Poverty: 5.2, State: Maryland, County: Howard County, Income: 115576, Total Pop: 312495
Entry(50): Poverty: 5.3, State: New Jersey, County: Sussex County, Income: 89238, Total Pop: 143570
Entry(51): Poverty: 5.3, State: Virginia, County: Goochland County, Income: 86652, Total Pop: 22148
Entry(52): Poverty: 5.3, State: Illinois, County: Monroe County, Income: 74410, Total Pop: 33739
Entry(53): Poverty: 5.3, State: Nebraska, County: Sarpy County, Income: 75752, Total Pop: 175188
Entry(54): Poverty: 5.4, State: Iowa, County: Cedar County, Income: 62555, Total Pop: 18368
Entry(55): Poverty: 5.4, State: Iowa, County: Dallas County, Income: 82719, Total Pop: 80864
Entry(56): Poverty: 5.4, State: Illinois, County: Piatt County, Income: 67360, Total Pop: 16433
Entry(57): Poverty: 5.4, State: Minnesota, County: Chisago County, Income: 76747, Total Pop: 54297
Entry(58): Poverty: 5.5, State: Virginia, County: Powhatan County, Income: 80441, Total Pop: 28364
Entry(59): Poverty: 5.5, State: Wisconsin, County: Washington County, Income: 73021, Total Pop: 133967
Entry(60): Poverty: 5.5, State: Maryland, County: Carroll County, Income: 90510, Total Pop: 167319
Entry(61): Poverty: 5.6, State: South Dakota, County: Hamlin County, Income: 61784, Total Pop: 5911
Entry(62): Poverty: 5.6, State: Virginia, County: Frederick County, Income: 71037, Total Pop: 83784
Entry(63): Poverty: 5.6, State: North Dakota, County: Pembina County, Income: 61393, Total Pop: 7050
Entry(64): Poverty: 5.6, State: Minnesota, County: Scott County, Income: 93151, Total Pop: 141463
Entry(65): Poverty: 5.6, State: Kansas, County: Johnson County, Income: 81121, Total Pop: 578797
Entry(66): Poverty: 5.6, State: Colorado, County: Gilpin County, Income: 72544, Total Pop: 5793
Entry(67): Poverty: 5.6, State: Illinois, County: Kendall County, Income: 89860, Total Pop: 122933
Entry(68): Poverty: 5.6, State: Alaska, County: Skagway Municipality, Income: 70673, Total Pop: 1038
Entry(69): Poverty: 5.6, State: Kentucky, County: Oldham County, Income: 92237, Total Pop: 64633
Entry(70): Poverty: 5.7, State: Missouri, County: St. Charles County, Income: 78380, Total Pop: 385115
Entry(71): Poverty: 5.7, State: Virginia, County: King George County, Income: 84770, Total Pop: 25564
Entry(72): Poverty: 5.7, State: Minnesota, County: Dodge County, Income: 71078, Total Pop: 20485
Entry(73): Poverty: 5.7, State: Texas, County: Kendall County, Income: 81023, Total Pop: 40306
Entry(74): Poverty: 5.7, State: Maryland, County: Calvert County, Income: 100350, Total Pop: 90824
Entry(75): Poverty: 5.7, State: Nebraska, County: Gosper County, Income: 61769, Total Pop: 2019
Entry(76): Poverty: 5.7, State: Texas, County: Foard County, Income: 50000, Total Pop: 1414
Entry(77): Poverty: 5.8, State: South Dakota, County: Stanley County, Income: 63233, Total Pop: 2994
Entry(78): Poverty: 5.8, State: Virginia, County: Hanover County, Income: 84955, Total Pop: 103218
Entry(79): Poverty: 5.8, State: Texas, County: Rockwall County, Income: 93269, Total Pop: 90414
Entry(80): Poverty: 5.8, State: North Dakota, County: Wells County, Income: 54464, Total Pop: 4089
Entry(81): Poverty: 5.8, State: Iowa, County: Grundy County, Income: 65170, Total Pop: 12354
Entry(82): Poverty: 5.8, State: Montana, County: Fallon County, Income: 56806, Total Pop: 2925
Entry(83): Poverty: 5.9, State: Wisconsin, County: Calumet County, Income: 70662, Total Pop: 49737
Entry(84): Poverty: 5.9, State: Montana, County: Richland County, Income: 66572, Total Pop: 11405
Entry(85): Poverty: 5.9, State: South Dakota, County: Edmunds County, Income: 65380, Total Pop: 3971
Entry(86): Poverty: 5.9, State: Wisconsin, County: Ozaukee County, Income: 80526, Total Pop: 87817
Entry(87): Poverty: 5.9, State: New York, County: Nassau County, Income: 105744, Total Pop: 1363069
Entry(88): Poverty: 5.9, State: Michigan, County: Livingston County, Income: 78430, Total Pop: 186946
Entry(89): Poverty: 6.1, State: Maryland, County: Anne Arundel County, Income: 94502, Total Pop: 564600
Entry(90): Poverty: 6.1, State: Virginia, County: Fairfax County, Income: 117515, Total Pop: 1142004
Entry(91): Poverty: 6.1, State: Pennsylvania, County: Bucks County, Income: 82031, Total Pop: 626486
Entry(92): Poverty: 6.1, State: Minnesota, County: Wabasha County, Income: 61973, Total Pop: 21490
Entry(93): Poverty: 6.1, State: Indiana, County: Boone County, Income: 75591, Total Pop: 63013
Entry(94): Poverty: 6.1, State: Virginia, County: Fluvanna County, Income: 67964, Total Pop: 26109
Entry(95): Poverty: 6.1, State: Kansas, County: Wabaunsee County, Income: 58947, Total Pop: 6918
Entry(96): Poverty: 6.2, State: Virginia, County: Fauquier County, Income: 94775, Total Pop: 68406
Entry(97): Poverty: 6.2, State: Ohio, County: Medina County, Income: 71595, Total Pop: 176362
Entry(98): Poverty: 6.2, State: Iowa, County: Warren County, Income: 71514, Total Pop: 48630
Entry(99): Poverty: 6.2, State: Alaska, County: Yakutat City and Borough, Income: 64583, Total Pop: 682
Entry(100): Poverty: 6.2, State: Utah, County: Davis County, Income: 75961, Total Pop: 334977
Entry(101): Poverty: 6.2, State: South Dakota, County: Aurora County, Income: 57257, Total Pop: 2739
Entry(102): Poverty: 6.3, State: Georgia, County: Fayette County, Income: 84861, Total Pop: 110306
Entry(103): Poverty: 6.3, State: Nebraska, County: Cass County, Income: 68284, Total Pop: 25513
Entry(104): Poverty: 6.3, State: North Dakota, County: Dickey County, Income: 58357, Total Pop: 5041
Entry(105): Poverty: 6.4, State: Pennsylvania, County: Montgomery County, Income: 84791, Total Pop: 818677
Entry(106): Poverty: 6.4, State: Minnesota, County: Sherburne County, Income: 83895, Total Pop: 92024
Entry(107): Poverty: 6.4, State: Maryland, County: Queen Anne's County, Income: 89241, Total Pop: 49071
Entry(108): Poverty: 6.4, State: New Jersey, County: Burlington County, Income: 82839, Total Pop: 449192
Entry(109): Poverty: 6.4, State: Texas, County: Carson County, Income: 67010, Total Pop: 6033
Entry(110): Poverty: 6.5, State: Georgia, County: Forsyth County, Income: 96445, Total Pop: 211300
Entry(111): Poverty: 6.5, State: Connecticut, County: Tolland County, Income: 81312, Total Pop: 151596
Entry(112): Poverty: 6.5, State: Massachusetts, County: Norfolk County, Income: 95668, Total Pop: 694389
Entry(113): Poverty: 6.5, State: South Dakota, County: Hanson County, Income: 62448, Total Pop: 3404
Entry(114): Poverty: 6.5, State: Montana, County: Stillwater County, Income: 61998, Total Pop: 9342
Entry(115): Poverty: 6.5, State: Ohio, County: Geauga County, Income: 77104, Total Pop: 93895
Entry(116): Poverty: 6.5, State: South Dakota, County: Potter County, Income: 51597, Total Pop: 2318
Entry(117): Poverty: 6.5, State: Texas, County: Sutton County, Income: 60996, Total Pop: 3894
Entry(118): Poverty: 6.6, State: New York, County: Saratoga County, Income: 77548, Total Pop: 226632
Entry(119): Poverty: 6.6, State: North Dakota, County: Ransom County, Income: 62524, Total Pop: 5411
Entry(120): Poverty: 6.6, State: Colorado, County: Park County, Income: 61644, Total Pop: 16900
Entry(121): Poverty: 6.6, State: Minnesota, County: Anoka County, Income: 76796, Total Pop: 344861
Entry(122): Poverty: 6.7, State: Texas, County: Jeff Davis County, Income: 46534, Total Pop: 2236
Entry(123): Poverty: 6.7, State: Kansas, County: Rush County, Income: 43594, Total Pop: 3119
Entry(124): Poverty: 6.8, State: Colorado, County: Clear Creek County, Income: 68534, Total Pop: 9257
Entry(125): Poverty: 6.8, State: Wyoming, County: Teton County, Income: 80049, Total Pop: 22923
Entry(126): Poverty: 6.8, State: North Dakota, County: Slope County, Income: 61250, Total Pop: 674
Entry(127): Poverty: 6.8, State: Nebraska, County: Pierce County, Income: 55417, Total Pop: 7175
Entry(128): Poverty: 6.8, State: Missouri, County: Osage County, Income: 54503, Total Pop: 13610
Entry(129): Poverty: 6.8, State: Nevada, County: Esmeralda County, Income: 39405, Total Pop: 1102
Entry(130): Poverty: 6.8, State: Illinois, County: DuPage County, Income: 84442, Total Pop: 931826
Entry(131): Poverty: 6.8, State: Connecticut, County: Litchfield County, Income: 76438, Total Pop: 184454
Entry(132): Poverty: 6.8, State: Wyoming, County: Sheridan County, Income: 56455, Total Pop: 29964
Entry(133): Poverty: 6.9, State: Utah, County: Tooele County, Income: 66542, Total Pop: 63357
Entry(134): Poverty: 6.9, State: Georgia, County: Oconee County, Income: 77388, Total Pop: 35972
Entry(135): Poverty: 6.9, State: Pennsylvania, County: Chester County, Income: 92417, Total Pop: 514652
Entry(136): Poverty: 6.9, State: North Dakota, County: Traill County, Income: 60952, Total Pop: 8050
Entry(137): Poverty: 6.9, State: Minnesota, County: Dakota County, Income: 79995, Total Pop: 414655
Entry(138): Poverty: 6.9, State: North Dakota, County: Kidder County, Income: 60225, Total Pop: 2457
Entry(139): Poverty: 6.9, State: Maryland, County: Charles County, Income: 93973, Total Pop: 156021
Entry(140): Poverty: 6.9, State: Texas, County: Collin County, Income: 90124, Total Pop: 914075
Entry(141): Poverty: 7.0, State: Wyoming, County: Park County, Income: 60828, Total Pop: 29276
Entry(142): Poverty: 7.0, State: Texas, County: Williamson County, Income: 79123, Total Pop: 508313
Entry(143): Poverty: 7.0, State: Texas, County: McMullen County, Income: 71389, Total Pop: 600
Entry(144): Poverty: 7.0, State: Virginia, County: Prince William County, Income: 101059, Total Pop: 450763
Entry(145): Poverty: 7.0, State: Maryland, County: Montgomery County, Income: 103178, Total Pop: 1039198
Entry(146): Poverty: 7.0, State: Texas, County: Martin County, Income: 71115, Total Pop: 5547
Entry(147): Poverty: 7.0, State: Texas, County: Edwards County, Income: 48462, Total Pop: 2111
Entry(148): Poverty: 7.0, State: Rhode Island, County: Bristol County, Income: 74630, Total Pop: 49028
Entry(149): Poverty: 7.0, State: Indiana, County: Hancock County, Income: 70973, Total Pop: 72776
Entry(150): Poverty: 7.1, State: Minnesota, County: Isanti County, Income: 67565, Total Pop: 38584
Entry(151): Poverty: 7.1, State: Colorado, County: Pitkin County, Income: 67755, Total Pop: 17747
Entry(152): Poverty: 7.1, State: Nebraska, County: Phelps County, Income: 56408, Total Pop: 9163
Entry(153): Poverty: 7.1, State: Iowa, County: Palo Alto County, Income: 50470, Total Pop: 9110
Entry(154): Poverty: 7.1, State: Alaska, County: Bristol Bay Borough, Income: 79500, Total Pop: 917
Entry(155): Poverty: 7.1, State: North Dakota, County: Foster County, Income: 59500, Total Pop: 3318
Entry(156): Poverty: 7.2, State: New York, County: Suffolk County, Income: 92838, Total Pop: 1497595
Entry(157): Poverty: 7.2, State: Nebraska, County: Hamilton County, Income: 61944, Total Pop: 9149
Entry(158): Poverty: 7.2, State: Nebraska, County: Garfield County, Income: 46509, Total Pop: 1958
Entry(159): Poverty: 7.2, State: Maryland, County: Frederick County, Income: 88502, Total Pop: 246105
Entry(160): Poverty: 7.2, State: Ohio, County: Putnam County, Income: 61161, Total Pop: 34037
Entry(161): Poverty: 7.2, State: Connecticut, County: Middlesex County, Income: 81673, Total Pop: 164110
Entry(162): Poverty: 7.2, State: Missouri, County: Platte County, Income: 74199, Total Pop: 96899
Entry(163): Poverty: 7.2, State: New Jersey, County: Bergen County, Income: 91572, Total Pop: 937920
Entry(164): Poverty: 7.2, State: Virginia, County: Chesterfield County, Income: 76969, Total Pop: 335594
Entry(165): Poverty: 7.3, State: South Dakota, County: Union County, Income: 65434, Total Pop: 14929
Entry(166): Poverty: 7.3, State: Nebraska, County: Boone County, Income: 53854, Total Pop: 5357
Entry(167): Poverty: 7.3, State: Iowa, County: Madison County, Income: 60077, Total Pop: 15720
Entry(168): Poverty: 7.3, State: North Dakota, County: Mercer County, Income: 80337, Total Pop: 8637
Entry(169): Poverty: 7.3, State: Georgia, County: Harris County, Income: 69539, Total Pop: 33198
Entry(170): Poverty: 7.3, State: North Dakota, County: Burke County, Income: 71667, Total Pop: 2253
Entry(171): Poverty: 7.3, State: California, County: San Mateo County, Income: 105667, Total Pop: 763450
Entry(172): Poverty: 7.3, State: Illinois, County: McHenry County, Income: 82230, Total Pop: 308043
Entry(173): Poverty: 7.4, State: Illinois, County: Will County, Income: 80782, Total Pop: 687727
Entry(174): Poverty: 7.4, State: Ohio, County: Union County, Income: 78848, Total Pop: 54688
Entry(175): Poverty: 7.4, State: Minnesota, County: Lake of the Woods County, Income: 46943, Total Pop: 3841
Entry(176): Poverty: 7.4, State: Alaska, County: Valdez-Cordova Census Area, Income: 86019, Total Pop: 9439
Entry(177): Poverty: 7.4, State: Alaska, County: Juneau City and Borough, Income: 90749, Total Pop: 32434
Entry(178): Poverty: 7.4, State: Wyoming, County: Sublette County, Income: 84911, Total Pop: 10037
Entry(179): Poverty: 7.4, State: Ohio, County: Mercer County, Income: 57052, Total Pop: 40723
Entry(180): Poverty: 7.4, State: Illinois, County: Woodford County, Income: 69507, Total Pop: 38942
Entry(181): Poverty: 7.4, State: Montana, County: Valley County, Income: 55267, Total Pop: 7561
Entry(182): Poverty: 7.5, State: Maryland, County: Harford County, Income: 83445, Total Pop: 250132
Entry(183): Poverty: 7.5, State: Colorado, County: Teller County, Income: 66809, Total Pop: 23769
Entry(184): Poverty: 7.5, State: Utah, County: Summit County, Income: 94952, Total Pop: 39731
Entry(185): Poverty: 7.5, State: Texas, County: Armstrong County, Income: 68750, Total Pop: 1929
Entry(186): Poverty: 7.5, State: North Dakota, County: Logan County, Income: 57379, Total Pop: 1932
Entry(187): Poverty: 7.5, State: Alaska, County: Aleutians West Census Area, Income: 85192, Total Pop: 5784
Entry(188): Poverty: 7.5, State: Vermont, County: Grand Isle County, Income: 66111, Total Pop: 6950
Entry(189): Poverty: 7.5, State: Massachusetts, County: Barnstable County, Income: 68048, Total Pop: 213900
Entry(190): Poverty: 7.5, State: Virginia, County: James City County, Income: 80772, Total Pop: 73028
Entry(191): Poverty: 7.6, State: Kansas, County: McPherson County, Income: 56946, Total Pop: 28792
Entry(192): Poverty: 7.6, State: Illinois, County: Jo Daviess County, Income: 55532, Total Pop: 22046
Entry(193): Poverty: 7.6, State: South Dakota, County: Grant County, Income: 56276, Total Pop: 7133
Entry(194): Poverty: 7.6, State: New Jersey, County: Monmouth County, Income: 91807, Total Pop: 627551
Entry(195): Poverty: 7.6, State: Kansas, County: Kingman County, Income: 57593, Total Pop: 7576
Entry(196): Poverty: 7.6, State: Kentucky, County: Boone County, Income: 72731, Total Pop: 127682
Entry(197): Poverty: 7.6, State: Nebraska, County: Polk County, Income: 63667, Total Pop: 5244
Entry(198): Poverty: 7.7, State: Alaska, County: Fairbanks North Star Borough, Income: 76250, Total Pop: 100031
Entry(199): Poverty: 7.7, State: Kansas, County: Miami County, Income: 63501, Total Pop: 32976
Entry(200): Poverty: 7.7, State: Indiana, County: Warrick County, Income: 66080, Total Pop: 61581
Entry(201): Poverty: 7.7, State: Colorado, County: Eagle County, Income: 83803, Total Pop: 53726
Entry(202): Poverty: 7.7, State: Iowa, County: Bremer County, Income: 65440, Total Pop: 24741
Entry(203): Poverty: 7.7, State: Virginia, County: Botetourt County, Income: 64733, Total Pop: 33149
Entry(204): Poverty: 7.7, State: Tennessee, County: Moore County, Income: 51671, Total Pop: 6302
Entry(205): Poverty: 7.7, State: Michigan, County: Leelanau County, Income: 62646, Total Pop: 21564
Entry(206): Poverty: 7.7, State: Minnesota, County: Jackson County, Income: 55122, Total Pop: 10104
Entry(207): Poverty: 7.7, State: Montana, County: McCone County, Income: 46193, Total Pop: 1728
Entry(208): Poverty: 7.7, State: Nebraska, County: Keya Paha County, Income: 48864, Total Pop: 720
Entry(209): Poverty: 7.7, State: Nevada, County: Storey County, Income: 63607, Total Pop: 3891
Entry(210): Poverty: 7.7, State: New Hampshire, County: Merrimack County, Income: 69856, Total Pop: 147958
Entry(211): Poverty: 7.8, State: Virginia, County: Fairfax city, Income: 106870, Total Pop: 23580
Entry(212): Poverty: 7.8, State: Pennsylvania, County: Cumberland County, Income: 65544, Total Pop: 245801
Entry(213): Poverty: 7.8, State: Colorado, County: Jefferson County, Income: 75170, Total Pop: 564029
Entry(214): Poverty: 7.8, State: Minnesota, County: Marshall County, Income: 57289, Total Pop: 9397
Entry(215): Poverty: 7.8, State: Iowa, County: Buchanan County, Income: 59348, Total Pop: 21101
Entry(216): Poverty: 7.8, State: Utah, County: Wasatch County, Income: 74552, Total Pop: 29306
Entry(217): Poverty: 7.8, State: Rhode Island, County: Kent County, Income: 69047, Total Pop: 164012
Entry(218): Poverty: 7.8, State: Alaska, County: Petersburg Borough, Income: 63490, Total Pop: 3275
Entry(219): Poverty: 7.8, State: Vermont, County: Addison County, Income: 61875, Total Pop: 36825
Entry(220): Poverty: 7.8, State: Montana, County: Broadwater County, Income: 55295, Total Pop: 5755
Entry(221): Poverty: 7.8, State: Kansas, County: Pawnee County, Income: 46224, Total Pop: 6776
Entry(222): Poverty: 7.8, State: Nebraska, County: Butler County, Income: 52448, Total Pop: 8105
Entry(223): Poverty: 7.9, State: Oklahoma, County: Canadian County, Income: 69220, Total Pop: 132922
Entry(224): Poverty: 7.9, State: North Dakota, County: Morton County, Income: 65385, Total Pop: 30059
Entry(225): Poverty: 7.9, State: North Dakota, County: McHenry County, Income: 61788, Total Pop: 5951
Entry(226): Poverty: 7.9, State: Minnesota, County: Pope County, Income: 58198, Total Pop: 10932
Entry(227): Poverty: 7.9, State: Iowa, County: Sioux County, Income: 66022, Total Pop: 34692
Entry(228): Poverty: 7.9, State: New Jersey, County: Gloucester County, Income: 81489, Total Pop: 291372
Entry(229): Poverty: 7.9, State: Texas, County: Mitchell County, Income: 52194, Total Pop: 8774
Entry(230): Poverty: 8.0, State: Virginia, County: Virginia Beach city, Income: 70500, Total Pop: 450057
Entry(231): Poverty: 8.0, State: Virginia, County: Spotsylvania County, Income: 81434, Total Pop: 130159
Entry(232): Poverty: 8.0, State: North Dakota, County: Griggs County, Income: 50272, Total Pop: 2276
Entry(233): Poverty: 8.0, State: Iowa, County: Winneshiek County, Income: 60788, Total Pop: 20575
Entry(234): Poverty: 8.0, State: Illinois, County: Tazewell County, Income: 60874, Total Pop: 134695
Entry(235): Poverty: 8.0, State: Wyoming, County: Converse County, Income: 62776, Total Pop: 14166
Entry(236): Poverty: 8.0, State: Nebraska, County: Cuming County, Income: 50734, Total Pop: 9039
Entry(237): Poverty: 8.0, State: Nebraska, County: Chase County, Income: 54568, Total Pop: 3803
Entry(238): Poverty: 8.0, State: Massachusetts, County: Plymouth County, Income: 82081, Total Pop: 509114
Entry(239): Poverty: 8.0, State: Arkansas, County: Saline County, Income: 58985, Total Pop: 116252
Entry(240): Poverty: 8.0, State: Kansas, County: Morton County, Income: 43813, Total Pop: 2931
Entry(241): Poverty: 8.0, State: Virginia, County: Roanoke County, Income: 62134, Total Pop: 93419
Entry(242): Poverty: 8.0, State: Vermont, County: Franklin County, Income: 62214, Total Pop: 48816
Entry(243): Poverty: 8.0, State: Iowa, County: Hardin County, Income: 52207, Total Pop: 17239
Entry(244): Poverty: 8.1, State: North Dakota, County: Stark County, Income: 77328, Total Pop: 30316
Entry(245): Poverty: 8.1, State: Kansas, County: Comanche County, Income: 51563, Total Pop: 1741
Entry(246): Poverty: 8.1, State: Alaska, County: Anchorage Municipality, Income: 82271, Total Pop: 298225
Entry(247): Poverty: 8.1, State: Iowa, County: Dickinson County, Income: 59889, Total Pop: 17000
Entry(248): Poverty: 8.1, State: Colorado, County: Phillips County, Income: 50076, Total Pop: 4327
Entry(249): Poverty: 8.1, State: Texas, County: Fort Bend County, Income: 93645, Total Pop: 711421
Entry(250): Poverty: 8.1, State: Minnesota, County: Brown County, Income: 55764, Total Pop: 25243
Entry(251): Poverty: 8.1, State: Kansas, County: Phillips County, Income: 46806, Total Pop: 5446
Entry(252): Poverty: 8.1, State: California, County: Marin County, Income: 104703, Total Pop: 260814
Entry(253): Poverty: 8.1, State: Texas, County: Hartley County, Income: 64427, Total Pop: 5821
Entry(254): Poverty: 8.2, State: Texas, County: La Salle County, Income: 44601, Total Pop: 7418
Entry(255): Poverty: 8.2, State: New Jersey, County: Warren County, Income: 75500, Total Pop: 107088
Entry(256): Poverty: 8.2, State: Minnesota, County: Murray County, Income: 54211, Total Pop: 8394
Entry(257): Poverty: 8.2, State: California, County: Napa County, Income: 79637, Total Pop: 141005
Entry(258): Poverty: 8.2, State: South Dakota, County: Douglas County, Income: 52543, Total Pop: 2940
Entry(259): Poverty: 8.2, State: Nebraska, County: Colfax County, Income: 54876, Total Pop: 10616
Entry(260): Poverty: 8.2, State: Indiana, County: Union County, Income: 45531, Total Pop: 7225
Entry(261): Poverty: 8.2, State: Wisconsin, County: Sheboygan County, Income: 56114, Total Pop: 115094
Entry(262): Poverty: 8.2, State: Virginia, County: Arlington County, Income: 112138, Total Pop: 229534
Entry(263): Poverty: 8.2, State: Missouri, County: Perry County, Income: 54935, Total Pop: 19135
Entry(264): Poverty: 8.2, State: California, County: Placer County, Income: 80488, Total Pop: 374985
Entry(265): Poverty: 8.2, State: Maryland, County: St. Mary's County, Income: 86508, Total Pop: 110979
Entry(266): Poverty: 8.2, State: Massachusetts, County: Middlesex County, Income: 92878, Total Pop: 1582857
Entry(267): Poverty: 8.2, State: Montana, County: Powder River County, Income: 51136, Total Pop: 1610
Entry(268): Poverty: 8.2, State: South Dakota, County: Hand County, Income: 50720, Total Pop: 3303
Entry(269): Poverty: 8.3, State: Iowa, County: Mitchell County, Income: 53675, Total Pop: 10663
Entry(270): Poverty: 8.3, State: Alabama, County: Shelby County, Income: 74063, Total Pop: 208721
Entry(271): Poverty: 8.3, State: Wisconsin, County: Columbia County, Income: 63293, Total Pop: 56790
Entry(272): Poverty: 8.3, State: South Dakota, County: Marshall County, Income: 60948, Total Pop: 4759
Entry(273): Poverty: 8.3, State: Kansas, County: Jefferson County, Income: 58935, Total Pop: 18856
Entry(274): Poverty: 8.3, State: Idaho, County: Teton County, Income: 55986, Total Pop: 10776
Entry(275): Poverty: 8.3, State: Minnesota, County: Meeker County, Income: 59611, Total Pop: 23105
Entry(276): Poverty: 8.3, State: Ohio, County: Lake County, Income: 61137, Total Pop: 229701
Entry(277): Poverty: 8.3, State: Virginia, County: Bland County, Income: 46927, Total Pop: 6524
Entry(278): Poverty: 8.4, State: Minnesota, County: Douglas County, Income: 58667, Total Pop: 36891
Entry(279): Poverty: 8.4, State: Kansas, County: Hodgeman County, Income: 55345, Total Pop: 1875
Entry(280): Poverty: 8.4, State: Texas, County: Denton County, Income: 80290, Total Pop: 781321
Entry(281): Poverty: 8.4, State: Pennsylvania, County: Perry County, Income: 60847, Total Pop: 45878
Entry(282): Poverty: 8.4, State: Pennsylvania, County: Butler County, Income: 66037, Total Pop: 185984
Entry(283): Poverty: 8.4, State: Wisconsin, County: Door County, Income: 56494, Total Pop: 27443
Entry(284): Poverty: 8.4, State: North Dakota, County: Nelson County, Income: 52417, Total Pop: 2971
Entry(285): Poverty: 8.4, State: Minnesota, County: McLeod County, Income: 59869, Total Pop: 35816
Entry(286): Poverty: 8.4, State: Alaska, County: Haines Borough, Income: 70640, Total Pop: 2537
