Entry(0): Income 11680, State: Puerto Rico, County: Adjuntas Municipio, Total Pop: 18525, Poverty: 64.1
Entry(34): Income 16868, State: Puerto Rico, County: Peñuelas Municipio, Total Pop: 21661, Poverty: 57.3
Entry(35): Income 16919, State: Puerto Rico, County: Florida Municipio, Total Pop: 12140, Poverty: 56.4
Entry(36): Income 17113, State: Puerto Rico, County: Barceloneta Municipio, Total Pop: 24583, Poverty: 48.6
Entry(37): Income 17273, State: Puerto Rico, County: Loíza Municipio, Total Pop: 27242, Poverty: 51.9
Entry(38): Income 17289, State: Puerto Rico, County: Arecibo Municipio, Total Pop: 89550, Poverty: 48.6
Entry(39): Income 17579, State: Puerto Rico, County: Camuy Municipio, Total Pop: 32936, Poverty: 48.5
Entry(40): Income 17636, State: Puerto Rico, County: Maunabo Municipio, Total Pop: 11297, Poverty: 52.6
Entry(41): Income 17770, State: Puerto Rico, County: Hatillo Municipio, Total Pop: 40978, Poverty: 45.3
Entry(42): Income 18053, State: Puerto Rico, County: Vega Alta Municipio, Total Pop: 38589, Poverty: 50.6
Entry(43): Income 18069, State: Puerto Rico, County: Naranjito Municipio, Total Pop: 29112, Poverty: 47.5
Entry(44): Income 18191, State: Puerto Rico, County: Manatí Municipio, Total Pop: 40705, Poverty: 46.1
Entry(45): Income 18292, State: Puerto Rico, County: Rincón Municipio, Total Pop: 14526, Poverty: 48.6
Entry(46): Income 18387, State: Puerto Rico, County: Aibonito Municipio, Total Pop: 24008, Poverty: 49.2
Entry(47): Income 18533, State: Puerto Rico, County: Juncos Municipio, Total Pop: 39704, Poverty: 51.0
Entry(48): Income 18589, State: Puerto Rico, County: San Lorenzo Municipio, Total Pop: 38689, Poverty: 45.6
Entry(49): Income 18663, State: Puerto Rico, County: Cataño Municipio, Total Pop: 25595, Poverty: 49.4
Entry(50): Income 18735, State: Puerto Rico, County: Humacao Municipio, Total Pop: 54736, Poverty: 45.7
Entry(51): Income 18739, State: Puerto Rico, County: Morovis Municipio, Total Pop: 31785, Poverty: 49.3
Entry(52): Income 18765, State: Puerto Rico, County: Añasco Municipio, Total Pop: 27892, Poverty: 45.4
Entry(53): Income 18900, State: Puerto Rico, County: Vega Baja Municipio, Total Pop: 54754, Poverty: 43.8
Entry(54): Income 18941, State: Puerto Rico, County: Fajardo Municipio, Total Pop: 33075, Poverty: 43.7
Entry(55): Income 18976, State: Puerto Rico, County: Naguabo Municipio, Total Pop: 26584, Poverty: 49.3
Entry(56): Income 18998, State: Puerto Rico, County: Ceiba Municipio, Total Pop: 12238, Poverty: 43.2
Entry(57): Income 19110, State: Puerto Rico, County: Coamo Municipio, Total Pop: 39796, Poverty: 48.3
Entry(58): Income 19264, State: Kentucky, County: McCreary County, Total Pop: 17748, Poverty: 41.0
Entry(59): Income 19377, State: Puerto Rico, County: Luquillo Municipio, Total Pop: 18952, Poverty: 46.0
Entry(60): Income 19674, State: Puerto Rico, County: Hormigueros Municipio, Total Pop: 16474, Poverty: 39.3
Entry(61): Income 19893, State: Puerto Rico, County: Villalba Municipio, Total Pop: 23659, Poverty: 50.0
Entry(62): Income 19986, State: Puerto Rico, County: Canóvanas Municipio, Total Pop: 46779, Poverty: 42.8
Entry(63): Income 20228, State: Puerto Rico, County: Juana Díaz Municipio, Total Pop: 47952, Poverty: 47.7
Entry(64): Income 20330, State: Mississippi, County: Holmes County, Total Pop: 18267, Poverty: 46.5
Entry(65): Income 20389, State: Puerto Rico, County: Cidra Municipio, Total Pop: 41181, Poverty: 43.2
Entry(66): Income 20442, State: Puerto Rico, County: Cayey Municipio, Total Pop: 45431, Poverty: 43.6
Entry(67): Income 20587, State: Puerto Rico, County: Las Piedras Municipio, Total Pop: 38253, Poverty: 45.5
Entry(68): Income 20795, State: Louisiana, County: East Carroll Parish, Total Pop: 7318, Poverty: 48.2
Entry(69): Income 20954, State: Alabama, County: Greene County, Total Pop: 8533, Poverty: 38.8
Entry(70): Income 21663, State: Alabama, County: Sumter County, Total Pop: 13084, Poverty: 36.0
Entry(71): Income 21677, State: Puerto Rico, County: San Juan Municipio, Total Pop: 355181, Poverty: 42.0
Entry(72): Income 21779, State: Mississippi, County: Jefferson County, Total Pop: 7463, Poverty: 47.0
Entry(73): Income 21838, State: Georgia, County: Clinch County, Total Pop: 6788, Poverty: 39.5
Entry(74): Income 21906, State: Louisiana, County: Tensas Parish, Total Pop: 4771, Poverty: 38.0
Entry(75): Income 21999, State: Kentucky, County: Wolfe County, Total Pop: 7251, Poverty: 36.9
Entry(76): Income 22413, State: Georgia, County: Stewart County, Total Pop: 5832, Poverty: 41.5
Entry(77): Income 22584, State: Puerto Rico, County: Río Grande Municipio, Total Pop: 51768, Poverty: 38.2
Entry(78): Income 22736, State: Kentucky, County: Owsley County, Total Pop: 4497, Poverty: 33.0
Entry(79): Income 22973, State: Alabama, County: Perry County, Total Pop: 9680, Poverty: 41.9
Entry(80): Income 23297, State: Kentucky, County: Lee County, Total Pop: 6717, Poverty: 32.7
Entry(81): Income 23315, State: Georgia, County: Clay County, Total Pop: 3024, Poverty: 41.4
Entry(82): Income 23331, State: South Carolina, County: Allendale County, Total Pop: 9402, Poverty: 30.4
Entry(83): Income 23340, State: Mississippi, County: Wilkinson County, Total Pop: 9084, Poverty: 38.7
Entry(84): Income 23355, State: Puerto Rico, County: Culebra Municipio, Total Pop: 1494, Poverty: 41.8
Entry(85): Income 23558, State: Kentucky, County: Bell County, Total Pop: 27469, Poverty: 38.0
Entry(86): Income 24229, State: Puerto Rico, County: Caguas Municipio, Total Pop: 134269, Poverty: 37.7
Entry(87): Income 24451, State: Kentucky, County: Harlan County, Total Pop: 27548, Poverty: 35.6
Entry(88): Income 24583, State: Puerto Rico, County: Toa Baja Municipio, Total Pop: 81905, Poverty: 35.8
Entry(89): Income 24596, State: Kentucky, County: Clay County, Total Pop: 20866, Poverty: 39.5
Entry(90): Income 24601, State: Mississippi, County: Claiborne County, Total Pop: 9106, Poverty: 45.9
Entry(91): Income 24794, State: Texas, County: Brooks County, Total Pop: 7251, Poverty: 41.5
Entry(92): Income 24800, State: Texas, County: Kenedy County, Total Pop: 564, Poverty: 24.8
Entry(93): Income 25210, State: Mississippi, County: Leflore County, Total Pop: 30113, Poverty: 40.3
Entry(94): Income 25528, State: Puerto Rico, County: Bayamón Municipio, Total Pop: 188614, Poverty: 34.7
Entry(95): Income 25595, State: West Virginia, County: McDowell County, Total Pop: 19707, Poverty: 34.9
Entry(96): Income 25609, State: Mississippi, County: Issaquena County, Total Pop: 1296, Poverty: 40.3
Entry(97): Income 25671, State: Mississippi, County: Quitman County, Total Pop: 7537, Poverty: 37.5
Entry(98): Income 25861, State: Kentucky, County: Breathitt County, Total Pop: 13276, Poverty: 36.0
Entry(99): Income 25988, State: Texas, County: Zavala County, Total Pop: 12152, Poverty: 36.2
Entry(100): Income 26036, State: Alabama, County: Monroe County, Total Pop: 21745, Poverty: 33.7
Entry(101): Income 26060, State: New Mexico, County: Guadalupe County, Total Pop: 4426, Poverty: 13.0
Entry(102): Income 26061, State: Kentucky, County: Knox County, Total Pop: 31424, Poverty: 34.7
Entry(103): Income 26063, State: Texas, County: Terrell County, Total Pop: 721, Poverty: 17.1
Entry(104): Income 26188, State: Mississippi, County: Humphreys County, Total Pop: 8678, Poverty: 40.5
Entry(105): Income 26285, State: South Dakota, County: Todd County, Total Pop: 10016, Poverty: 52.0
Entry(106): Income 26346, State: Texas, County: Hudspeth County, Total Pop: 3702, Poverty: 35.6
Entry(107): Income 26486, State: Texas, County: Presidio County, Total Pop: 7191, Poverty: 26.3
Entry(108): Income 26644, State: New Mexico, County: Mora County, Total Pop: 4605, Poverty: 20.3
Entry(109): Income 26652, State: Arkansas, County: Phillips County, Total Pop: 19518, Poverty: 33.0
Entry(110): Income 26663, State: New Mexico, County: Quay County, Total Pop: 8447, Poverty: 21.6
Entry(111): Income 26736, State: Mississippi, County: Jefferson Davis County, Total Pop: 11639, Poverty: 32.5
Entry(112): Income 26750, State: Georgia, County: Quitman County, Total Pop: 2140, Poverty: 22.8
Entry(113): Income 26877, State: Louisiana, County: Claiborne Parish, Total Pop: 16296, Poverty: 29.9
Entry(114): Income 26971, State: Virginia, County: Norton city, Total Pop: 4043, Poverty: 25.7
Entry(115): Income 27012, State: Alabama, County: Wilcox County, Total Pop: 10919, Poverty: 31.9
Entry(116): Income 27016, State: Mississippi, County: Kemper County, Total Pop: 10082, Poverty: 31.8
Entry(117): Income 27036, State: Arkansas, County: Desha County, Total Pop: 12094, Poverty: 32.6
Entry(118): Income 27133, State: Texas, County: Starr County, Total Pop: 63420, Poverty: 35.0
Entry(119): Income 27197, State: Georgia, County: Jenkins County, Total Pop: 8929, Poverty: 30.7
Entry(120): Income 27426, State: Virginia, County: Emporia city, Total Pop: 5495, Poverty: 30.9
Entry(121): Income 27602, State: New Mexico, County: Luna County, Total Pop: 24319, Poverty: 31.8
Entry(122): Income 27804, State: South Dakota, County: Oglala Lakota County, Total Pop: 14291, Poverty: 51.9
Entry(123): Income 27861, State: Kentucky, County: Leslie County, Total Pop: 10648, Poverty: 34.5
Entry(124): Income 27901, State: Arkansas, County: Lee County, Total Pop: 9614, Poverty: 27.3
Entry(125): Income 28044, State: Georgia, County: Telfair County, Total Pop: 16339, Poverty: 27.7
Entry(126): Income 28274, State: Kentucky, County: Fulton County, Total Pop: 6259, Poverty: 25.3
Entry(127): Income 28330, State: Mississippi, County: Yazoo County, Total Pop: 27496, Poverty: 36.5
Entry(128): Income 28468, State: Mississippi, County: Bolivar County, Total Pop: 33121, Poverty: 37.4
Entry(129): Income 28490, State: Georgia, County: Wheeler County, Total Pop: 7952, Poverty: 29.3
Entry(130): Income 28556, State: Mississippi, County: Sunflower County, Total Pop: 26915, Poverty: 32.5
Entry(131): Income 28728, State: Mississippi, County: Coahoma County, Total Pop: 24296, Poverty: 36.2
Entry(132): Income 29000, State: Colorado, County: Costilla County, Total Pop: 3628, Poverty: 29.6
Entry(133): Income 29001, State: Louisiana, County: Natchitoches Parish, Total Pop: 39051, Poverty: 31.9
Entry(134): Income 29043, State: Kentucky, County: Elliott County, Total Pop: 7533, Poverty: 34.4
Entry(135): Income 29082, State: Puerto Rico, County: Carolina Municipio, Total Pop: 161684, Poverty: 29.0
Entry(136): Income 29104, State: Texas, County: Willacy County, Total Pop: 21839, Poverty: 35.6
Entry(137): Income 29168, State: New Mexico, County: San Miguel County, Total Pop: 28203, Poverty: 30.9
Entry(138): Income 29201, State: Montana, County: Glacier County, Total Pop: 13677, Poverty: 33.1
Entry(139): Income 29239, State: Kentucky, County: Martin County, Total Pop: 12175, Poverty: 29.8
Entry(140): Income 29268, State: Georgia, County: Hancock County, Total Pop: 8667, Poverty: 30.0
Entry(141): Income 29354, State: Puerto Rico, County: Dorado Municipio, Total Pop: 37722, Poverty: 33.1
Entry(142): Income 29387, State: Mississippi, County: Washington County, Total Pop: 48002, Poverty: 33.7
Entry(143): Income 29424, State: Louisiana, County: Madison Parish, Total Pop: 11616, Poverty: 36.4
Entry(144): Income 29472, State: Louisiana, County: Winn Parish, Total Pop: 14631, Poverty: 27.3
Entry(145): Income 29493, State: Georgia, County: Early County, Total Pop: 10405, Poverty: 27.5
Entry(146): Income 29578, State: Kentucky, County: Magoffin County, Total Pop: 12783, Poverty: 28.6
Entry(147): Income 29617, State: Georgia, County: Calhoun County, Total Pop: 6503, Poverty: 32.2
Entry(148): Income 29619, State: Tennessee, County: Hancock County, Total Pop: 6605, Poverty: 25.7
Entry(149): Income 29640, State: Georgia, County: Jefferson County, Total Pop: 15954, Poverty: 26.9
Entry(150): Income 29655, State: Alabama, County: Bullock County, Total Pop: 10478, Poverty: 28.5
Entry(151): Income 29672, State: Puerto Rico, County: Toa Alta Municipio, Total Pop: 74169, Poverty: 29.8
Entry(152): Income 29690, State: New Mexico, County: Sierra County, Total Pop: 11254, Poverty: 21.2
Entry(153): Income 29785, State: Alabama, County: Lowndes County, Total Pop: 10362, Poverty: 30.2
Entry(154): Income 29875, State: Georgia, County: Taylor County, Total Pop: 8267, Poverty: 28.2
Entry(155): Income 29916, State: Virginia, County: Dickenson County, Total Pop: 15181, Poverty: 23.0
Entry(156): Income 30000, State: Mississippi, County: Tallahatchie County, Total Pop: 14552, Poverty: 28.3
Entry(157): Income 30028, State: Louisiana, County: Concordia Parish, Total Pop: 20211, Poverty: 31.2
Entry(158): Income 30033, State: Mississippi, County: Sharkey County, Total Pop: 4631, Poverty: 29.0
Entry(159): Income 30065, State: Alabama, County: Dallas County, Total Pop: 40755, Poverty: 31.9
Entry(160): Income 30097, State: Arkansas, County: Woodruff County, Total Pop: 6763, Poverty: 26.0
Entry(161): Income 30129, State: Mississippi, County: Amite County, Total Pop: 12574, Poverty: 22.8
Entry(162): Income 30293, State: Kentucky, County: Letcher County, Total Pop: 23011, Poverty: 30.5
Entry(163): Income 30298, State: Oklahoma, County: Choctaw County, Total Pop: 14979, Poverty: 31.0
Entry(164): Income 30336, State: New Mexico, County: McKinley County, Total Pop: 72849, Poverty: 37.5
Entry(165): Income 30359, State: Mississippi, County: Adams County, Total Pop: 31583, Poverty: 34.2
Entry(166): Income 30434, State: Alabama, County: Conecuh County, Total Pop: 12649, Poverty: 26.4
Entry(167): Income 30500, State: South Dakota, County: Buffalo County, Total Pop: 2048, Poverty: 40.5
Entry(168): Income 30500, State: Georgia, County: Taliaferro County, Total Pop: 1844, Poverty: 31.0
Entry(169): Income 30503, State: Kentucky, County: Knott County, Total Pop: 15690, Poverty: 32.6
Entry(170): Income 30629, State: Georgia, County: Twiggs County, Total Pop: 8323, Poverty: 27.3
Entry(171): Income 30640, State: Georgia, County: Randolph County, Total Pop: 7206, Poverty: 35.1
Entry(172): Income 30692, State: Kentucky, County: Estill County, Total Pop: 14382, Poverty: 30.4
Entry(173): Income 30694, State: Kentucky, County: Robertson County, Total Pop: 2161, Poverty: 30.4
Entry(174): Income 30801, State: Tennessee, County: Clay County, Total Pop: 7684, Poverty: 26.6
Entry(175): Income 30808, State: Mississippi, County: Noxubee County, Total Pop: 10942, Poverty: 34.9
Entry(176): Income 30828, State: Virginia, County: Buchanan County, Total Pop: 22611, Poverty: 26.5
Entry(177): Income 30851, State: Georgia, County: Macon County, Total Pop: 13675, Poverty: 28.6
Entry(178): Income 30866, State: South Carolina, County: Dillon County, Total Pop: 31073, Poverty: 30.6
Entry(179): Income 30891, State: Louisiana, County: Webster Parish, Total Pop: 40043, Poverty: 24.9
Entry(180): Income 30949, State: Mississippi, County: Pike County, Total Pop: 39763, Poverty: 32.3
Entry(181): Income 30976, State: South Carolina, County: Williamsburg County, Total Pop: 32256, Poverty: 28.2
Entry(182): Income 30998, State: Mississippi, County: Marion County, Total Pop: 25466, Poverty: 25.9
Entry(183): Income 31014, State: Illinois, County: Alexander County, Total Pop: 6776, Poverty: 33.4
Entry(184): Income 31077, State: Mississippi, County: Walthall County, Total Pop: 14670, Poverty: 26.3
Entry(185): Income 31109, State: Georgia, County: Lanier County, Total Pop: 10388, Poverty: 28.7
Entry(186): Income 31129, State: South Carolina, County: Marion County, Total Pop: 31765, Poverty: 26.5
Entry(187): Income 31130, State: Kentucky, County: Clinton County, Total Pop: 10208, Poverty: 20.0
Entry(188): Income 31165, State: South Dakota, County: Mellette County, Total Pop: 2062, Poverty: 42.6
Entry(189): Income 31196, State: Kentucky, County: Floyd County, Total Pop: 37447, Poverty: 30.7
Entry(190): Income 31202, State: Missouri, County: Shannon County, Total Pop: 8273, Poverty: 30.5
Entry(191): Income 31202, State: Puerto Rico, County: Trujillo Alto Municipio, Total Pop: 69478, Poverty: 30.4
Entry(192): Income 31227, State: West Virginia, County: Mingo County, Total Pop: 25150, Poverty: 28.9
Entry(193): Income 31287, State: North Carolina, County: Bertie County, Total Pop: 19913, Poverty: 22.0
Entry(194): Income 31290, State: Missouri, County: Wright County, Total Pop: 18304, Poverty: 25.0
Entry(195): Income 31311, State: Virginia, County: Galax city, Total Pop: 6788, Poverty: 21.2
Entry(196): Income 31324, State: Texas, County: Hall County, Total Pop: 3102, Poverty: 22.2
Entry(197): Income 31384, State: Texas, County: Dimmit County, Total Pop: 10822, Poverty: 30.2
Entry(198): Income 31403, State: Texas, County: Jim Hogg County, Total Pop: 5262, Poverty: 26.0
Entry(199): Income 31439, State: New Mexico, County: De Baca County, Total Pop: 2016, Poverty: 22.7
Entry(200): Income 31503, State: Tennessee, County: Perry County, Total Pop: 7882, Poverty: 29.4
Entry(201): Income 31584, State: Arkansas, County: Monroe County, Total Pop: 7420, Poverty: 28.6
Entry(202): Income 31672, State: Louisiana, County: Morehouse Parish, Total Pop: 26290, Poverty: 27.6
Entry(203): Income 31745, State: Louisiana, County: Evangeline Parish, Total Pop: 33750, Poverty: 26.4
Entry(204): Income 31792, State: Arkansas, County: Sharp County, Total Pop: 17041, Poverty: 23.3
Entry(205): Income 31816, State: Florida, County: Madison County, Total Pop: 18518, Poverty: 31.9
Entry(206): Income 31820, State: Kentucky, County: Perry County, Total Pop: 27329, Poverty: 26.2
Entry(207): Income 31829, State: New Mexico, County: Hidalgo County, Total Pop: 4446, Poverty: 26.0
Entry(208): Income 31875, State: Tennessee, County: Scott County, Total Pop: 21949, Poverty: 26.2
Entry(209): Income 31919, State: Tennessee, County: Grundy County, Total Pop: 13359, Poverty: 28.5
Entry(210): Income 31927, State: Idaho, County: Clark County, Total Pop: 1055, Poverty: 24.2
Entry(211): Income 31933, State: Louisiana, County: Caldwell Parish, Total Pop: 10000, Poverty: 26.2
Entry(212): Income 31963, State: South Carolina, County: Lee County, Total Pop: 17897, Poverty: 26.4
Entry(213): Income 31993, State: Tennessee, County: Lake County, Total Pop: 7588, Poverty: 29.9
Entry(214): Income 32021, State: Missouri, County: Ozark County, Total Pop: 9328, Poverty: 27.6
Entry(215): Income 32027, State: Tennessee, County: Cocke County, Total Pop: 35262, Poverty: 25.0
Entry(216): Income 32048, State: Virginia, County: Grayson County, Total Pop: 15708, Poverty: 20.2
Entry(217): Income 32052, State: Mississippi, County: Tunica County, Total Pop: 10276, Poverty: 27.0
Entry(218): Income 32054, State: Kentucky, County: Lewis County, Total Pop: 13565, Poverty: 26.1
Entry(219): Income 32055, State: Kentucky, County: Jackson County, Total Pop: 13369, Poverty: 33.0
Entry(220): Income 32070, State: Missouri, County: Oregon County, Total Pop: 10779, Poverty: 25.3
Entry(221): Income 32122, State: Alabama, County: Choctaw County, Total Pop: 13188, Poverty: 22.3
Entry(222): Income 32135, State: Texas, County: Eastland County, Total Pop: 18278, Poverty: 17.4
Entry(223): Income 32136, State: Arkansas, County: Ouachita County, Total Pop: 24378, Poverty: 26.0
Entry(224): Income 32147, State: South Carolina, County: Hampton County, Total Pop: 20066, Poverty: 18.4
Entry(225): Income 32163, State: Louisiana, County: St. Landry Parish, Total Pop: 83580, Poverty: 27.9
Entry(226): Income 32212, State: Missouri, County: Mississippi County, Total Pop: 13916, Poverty: 31.7
Entry(227): Income 32219, State: Georgia, County: Terrell County, Total Pop: 8978, Poverty: 35.3
Entry(228): Income 32219, State: Arkansas, County: Clay County, Total Pop: 15190, Poverty: 22.3
Entry(229): Income 32255, State: Alabama, County: Marengo County, Total Pop: 19743, Poverty: 25.6
Entry(230): Income 32260, State: South Dakota, County: Corson County, Total Pop: 4177, Poverty: 47.9
Entry(231): Income 32308, State: Alabama, County: Macon County, Total Pop: 19358, Poverty: 25.9
Entry(232): Income 32309, State: Michigan, County: Lake County, Total Pop: 11669, Poverty: 25.0
Entry(233): Income 32330, State: South Carolina, County: Bamberg County, Total Pop: 14842, Poverty: 24.5
Entry(234): Income 32344, State: Georgia, County: Ben Hill County, Total Pop: 17272, Poverty: 30.4
Entry(235): Income 32348, State: Missouri, County: Dunklin County, Total Pop: 30905, Poverty: 26.6
Entry(236): Income 32360, State: Arizona, County: Apache County, Total Pop: 71602, Poverty: 35.9
Entry(237): Income 32394, State: Texas, County: San Augustine County, Total Pop: 8403, Poverty: 24.4
Entry(238): Income 32396, State: North Carolina, County: Bladen County, Total Pop: 34130, Poverty: 24.5
Entry(239): Income 32407, State: North Carolina, County: Robeson County, Total Pop: 134187, Poverty: 29.2
Entry(240): Income 32411, State: North Carolina, County: Tyrrell County, Total Pop: 4090, Poverty: 26.8
Entry(241): Income 32412, State: Arkansas, County: Chicot County, Total Pop: 11008, Poverty: 29.4
Entry(242): Income 32468, State: Missouri, County: Pemiscot County, Total Pop: 17344, Poverty: 28.5
Entry(243): Income 32500, State: Colorado, County: Bent County, Total Pop: 5806, Poverty: 24.5
Entry(244): Income 32500, State: Arkansas, County: Lafayette County, Total Pop: 7051, Poverty: 23.8
Entry(245): Income 32590, State: Virginia, County: Lee County, Total Pop: 24428, Poverty: 26.2
Entry(246): Income 32616, State: Tennessee, County: Fentress County, Total Pop: 17940, Poverty: 23.0
Entry(247): Income 32625, State: Puerto Rico, County: Gurabo Municipio, Total Pop: 47074, Poverty: 31.1
Entry(248): Income 32703, State: Kentucky, County: Lawrence County, Total Pop: 15844, Poverty: 24.5
Entry(249): Income 32739, State: North Carolina, County: Scotland County, Total Pop: 35445, Poverty: 29.8
Entry(250): Income 32769, State: Oregon, County: Lake County, Total Pop: 7807, Poverty: 20.0
Entry(251): Income 32783, State: Arkansas, County: Jackson County, Total Pop: 17429, Poverty: 25.1
Entry(252): Income 32854, State: Mississippi, County: Prentiss County, Total Pop: 25389, Poverty: 22.5
Entry(253): Income 32860, State: Georgia, County: Warren County, Total Pop: 5410, Poverty: 26.8
Entry(254): Income 32929, State: North Carolina, County: Edgecombe County, Total Pop: 54032, Poverty: 24.6
Entry(255): Income 32962, State: Louisiana, County: Washington Parish, Total Pop: 46449, Poverty: 26.3
Entry(256): Income 32972, State: Kentucky, County: Pike County, Total Pop: 61586, Poverty: 26.4
Entry(257): Income 32994, State: Tennessee, County: Johnson County, Total Pop: 17846, Poverty: 25.3
Entry(258): Income 33003, State: Missouri, County: Douglas County, Total Pop: 13391, Poverty: 20.6
Entry(259): Income 33031, State: Kentucky, County: Casey County, Total Pop: 15805, Poverty: 26.6
Entry(260): Income 33042, State: New Mexico, County: Colfax County, Total Pop: 12522, Poverty: 23.5
Entry(261): Income 33063, State: Georgia, County: Atkinson County, Total Pop: 8313, Poverty: 27.4
Entry(262): Income 33089, State: Georgia, County: Emanuel County, Total Pop: 22502, Poverty: 29.2
Entry(263): Income 33091, State: Arkansas, County: Stone County, Total Pop: 12443, Poverty: 24.2
Entry(264): Income 33102, State: Arkansas, County: St. Francis County, Total Pop: 26688, Poverty: 27.5
Entry(265): Income 33125, State: Texas, County: Culberson County, Total Pop: 2257, Poverty: 29.4
Entry(266): Income 33125, State: Georgia, County: Candler County, Total Pop: 10894, Poverty: 31.5
Entry(267): Income 33194, State: Georgia, County: Crisp County, Total Pop: 23005, Poverty: 31.2
Entry(268): Income 33313, State: Mississippi, County: Winston County, Total Pop: 18482, Poverty: 25.3
Entry(269): Income 33366, State: Oklahoma, County: Adair County, Total Pop: 22136, Poverty: 30.8
Entry(270): Income 33368, State: Alabama, County: Barbour County, Total Pop: 26201, Poverty: 27.2
Entry(271): Income 33370, State: Mississippi, County: Calhoun County, Total Pop: 14617, Poverty: 26.9
Entry(272): Income 33389, State: Georgia, County: Dooly County, Total Pop: 14053, Poverty: 23.2
Entry(273): Income 33390, State: West Virginia, County: Webster County, Total Pop: 8637, Poverty: 26.7
Entry(274): Income 33422, State: New Mexico, County: Rio Arriba County, Total Pop: 39455, Poverty: 26.4
Entry(275): Income 33508, State: North Carolina, County: Northampton County, Total Pop: 20426, Poverty: 25.4
Entry(276): Income 33523, State: Kentucky, County: Morgan County, Total Pop: 13281, Poverty: 25.6
Entry(277): Income 33534, State: Texas, County: Cottle County, Total Pop: 1498, Poverty: 24.5
Entry(278): Income 33545, State: Virginia, County: Martinsville city, Total Pop: 13256, Poverty: 24.0
Entry(279): Income 33552, State: Texas, County: Houston County, Total Pop: 22849, Poverty: 24.7
Entry(280): Income 33561, State: Texas, County: Sabine County, Total Pop: 10429, Poverty: 20.0
