Entry(0): Total Pop: 74, State: Texas, County: Loving County, Income: 80938, Poverty: 17.1
Entry(78): Total Pop: 1875, State: Kansas, County: Hodgeman County, Income: 55345, Poverty: 8.4
Entry(79): Total Pop: 1892, State: North Dakota, County: Golden Valley County, Income: 44018, Poverty: 9.4
Entry(80): Total Pop: 1901, State: Nebraska, County: Deuel County, Income: 53438, Poverty: 11.1
Entry(81): Total Pop: 1910, State: Oregon, County: Gilliam County, Income: 39831, Poverty: 9.9
Entry(82): Total Pop: 1913, State: Nebraska, County: Garden County, Income: 48125, Poverty: 11.7
Entry(83): Total Pop: 1915, State: North Dakota, County: Steele County, Income: 65437, Poverty: 3.8
Entry(84): Total Pop: 1929, State: Texas, County: Armstrong County, Income: 68750, Poverty: 7.5
Entry(85): Total Pop: 1932, State: North Dakota, County: Logan County, Income: 57379, Poverty: 7.5
Entry(86): Total Pop: 1958, State: Nebraska, County: Garfield County, Income: 46509, Poverty: 7.2
Entry(87): Total Pop: 1965, State: Montana, County: Judith Basin County, Income: 43281, Poverty: 13.9
Entry(88): Total Pop: 2000, State: Montana, County: Meagher County, Income: 41343, Poverty: 15.8
Entry(89): Total Pop: 2016, State: New Mexico, County: De Baca County, Income: 31439, Poverty: 22.7
Entry(90): Total Pop: 2017, State: Nebraska, County: Dundy County, Income: 44653, Poverty: 10.5
Entry(91): Total Pop: 2019, State: Nebraska, County: Gosper County, Income: 61769, Poverty: 5.7
Entry(92): Total Pop: 2034, State: South Dakota, County: Jerauld County, Income: 49882, Poverty: 8.9
Entry(93): Total Pop: 2048, State: South Dakota, County: Buffalo County, Income: 30500, Poverty: 40.5
Entry(94): Total Pop: 2049, State: Nebraska, County: Boyd County, Income: 48750, Poverty: 9.8
Entry(95): Total Pop: 2053, State: Missouri, County: Worth County, Income: 48214, Poverty: 15.0
Entry(96): Total Pop: 2062, State: South Dakota, County: Mellette County, Income: 31165, Poverty: 42.6
Entry(97): Total Pop: 2083, State: Texas, County: Oldham County, Income: 62426, Poverty: 11.1
Entry(98): Total Pop: 2084, State: South Dakota, County: Haakon County, Income: 38873, Poverty: 17.2
Entry(99): Total Pop: 2089, State: Kansas, County: Clark County, Income: 46094, Poverty: 8.9
Entry(100): Total Pop: 2107, State: Kansas, County: Stanton County, Income: 42222, Poverty: 10.8
Entry(101): Total Pop: 2108, State: Montana, County: Wheatland County, Income: 37222, Poverty: 19.8
Entry(102): Total Pop: 2111, State: Texas, County: Edwards County, Income: 48462, Poverty: 7.0
Entry(103): Total Pop: 2123, State: Texas, County: Menard County, Income: 37917, Poverty: 9.8
Entry(104): Total Pop: 2127, State: Colorado, County: Cheyenne County, Income: 54907, Poverty: 11.8
Entry(105): Total Pop: 2136, State: Michigan, County: Keweenaw County, Income: 41118, Poverty: 14.5
Entry(106): Total Pop: 2140, State: Georgia, County: Quitman County, Income: 26750, Poverty: 22.8
Entry(107): Total Pop: 2146, State: Alaska, County: Hoonah-Angoon Census Area, Income: 57900, Poverty: 11.1
Entry(108): Total Pop: 2157, State: Kansas, County: Wichita County, Income: 55109, Poverty: 4.4
Entry(109): Total Pop: 2161, State: Kentucky, County: Robertson County, Income: 30694, Poverty: 30.4
Entry(110): Total Pop: 2213, State: Virginia, County: Highland County, Income: 45094, Poverty: 10.6
Entry(111): Total Pop: 2221, State: Oklahoma, County: Cimarron County, Income: 44667, Poverty: 15.9
Entry(112): Total Pop: 2224, State: Texas, County: Dickens County, Income: 43088, Poverty: 16.6
Entry(113): Total Pop: 2226, State: Washington, County: Garfield County, Income: 51399, Poverty: 11.7
Entry(114): Total Pop: 2236, State: Texas, County: Jeff Davis County, Income: 46534, Poverty: 6.7
Entry(115): Total Pop: 2245, State: Montana, County: Liberty County, Income: 46641, Poverty: 13.9
Entry(116): Total Pop: 2253, State: North Dakota, County: Burke County, Income: 71667, Poverty: 7.3
Entry(117): Total Pop: 2255, State: South Dakota, County: Miner County, Income: 50658, Poverty: 11.6
Entry(118): Total Pop: 2257, State: Texas, County: Culberson County, Income: 33125, Poverty: 29.4
Entry(119): Total Pop: 2258, State: North Dakota, County: Towner County, Income: 54625, Poverty: 12.4
Entry(120): Total Pop: 2276, State: North Dakota, County: Griggs County, Income: 50272, Poverty: 8.0
Entry(121): Total Pop: 2303, State: Alaska, County: Denali Borough, Income: 83295, Poverty: 15.5
Entry(122): Total Pop: 2307, State: Utah, County: Rich County, Income: 52917, Poverty: 18.0
Entry(123): Total Pop: 2318, State: South Dakota, County: Potter County, Income: 51597, Poverty: 6.5
Entry(124): Total Pop: 2321, State: North Dakota, County: Eddy County, Income: 55294, Poverty: 13.2
Entry(125): Total Pop: 2327, State: South Dakota, County: Faulk County, Income: 46750, Poverty: 10.9
Entry(126): Total Pop: 2357, State: Colorado, County: Sedgwick County, Income: 49583, Poverty: 17.0
Entry(127): Total Pop: 2366, State: South Dakota, County: Sanborn County, Income: 54677, Poverty: 9.7
Entry(128): Total Pop: 2366, State: South Dakota, County: McPherson County, Income: 41674, Poverty: 17.0
Entry(129): Total Pop: 2368, State: North Dakota, County: Adams County, Income: 54700, Poverty: 9.2
Entry(130): Total Pop: 2378, State: North Dakota, County: Divide County, Income: 54223, Poverty: 13.0
Entry(131): Total Pop: 2387, State: North Dakota, County: Grant County, Income: 50875, Poverty: 12.8
Entry(132): Total Pop: 2436, State: Nebraska, County: Greeley County, Income: 47218, Poverty: 9.8
Entry(133): Total Pop: 2457, State: North Dakota, County: Kidder County, Income: 60225, Poverty: 6.9
Entry(134): Total Pop: 2475, State: Alaska, County: Wrangell City and Borough, Income: 56094, Poverty: 11.7
Entry(135): Total Pop: 2479, State: Wyoming, County: Niobrara County, Income: 36793, Poverty: 14.9
Entry(136): Total Pop: 2497, State: Kansas, County: Sheridan County, Income: 56607, Poverty: 4.8
Entry(137): Total Pop: 2520, State: Kansas, County: Rawlins County, Income: 50893, Poverty: 8.7
Entry(138): Total Pop: 2524, State: Kansas, County: Kiowa County, Income: 48226, Poverty: 8.7
Entry(139): Total Pop: 2537, State: Alaska, County: Haines Borough, Income: 70640, Poverty: 8.4
Entry(140): Total Pop: 2543, State: North Dakota, County: Renville County, Income: 66023, Poverty: 4.8
Entry(141): Total Pop: 2561, State: Kansas, County: Graham County, Income: 43427, Poverty: 12.3
Entry(142): Total Pop: 2581, State: Kansas, County: Elk County, Income: 39405, Poverty: 13.5
Entry(143): Total Pop: 2601, State: North Dakota, County: Hettinger County, Income: 56118, Poverty: 9.3
Entry(144): Total Pop: 2613, State: Idaho, County: Butte County, Income: 43207, Poverty: 16.2
Entry(145): Total Pop: 2621, State: Kansas, County: Hamilton County, Income: 48160, Poverty: 9.3
Entry(146): Total Pop: 2624, State: Nebraska, County: Frontier County, Income: 52090, Poverty: 10.9
Entry(147): Total Pop: 2627, State: Georgia, County: Webster County, Income: 36658, Poverty: 19.5
Entry(148): Total Pop: 2632, State: Kansas, County: Gove County, Income: 50817, Poverty: 9.0
Entry(149): Total Pop: 2665, State: Kansas, County: Chase County, Income: 42772, Poverty: 12.6
Entry(150): Total Pop: 2677, State: Kansas, County: Cheyenne County, Income: 47167, Poverty: 11.2
Entry(151): Total Pop: 2680, State: North Dakota, County: McIntosh County, Income: 46012, Poverty: 9.9
Entry(152): Total Pop: 2700, State: Utah, County: Wayne County, Income: 42444, Poverty: 9.2
Entry(153): Total Pop: 2704, State: Nebraska, County: Pawnee County, Income: 42176, Poverty: 20.5
Entry(154): Total Pop: 2739, State: South Dakota, County: Aurora County, Income: 57257, Poverty: 6.2
Entry(155): Total Pop: 2758, State: Oklahoma, County: Harmon County, Income: 38264, Poverty: 16.1
Entry(156): Total Pop: 2790, State: Kansas, County: Logan County, Income: 49926, Poverty: 8.9
Entry(157): Total Pop: 2837, State: South Dakota, County: Ziebach County, Income: 35000, Poverty: 43.1
Entry(158): Total Pop: 2860, State: Nebraska, County: Hitchcock County, Income: 41582, Poverty: 14.2
Entry(159): Total Pop: 2885, State: California, County: Sierra County, Income: 44190, Poverty: 12.3
Entry(160): Total Pop: 2891, State: Kansas, County: Decatur County, Income: 41230, Poverty: 17.5
Entry(161): Total Pop: 2899, State: Kansas, County: Trego County, Income: 55197, Poverty: 4.8
Entry(162): Total Pop: 2904, State: Nebraska, County: Perkins County, Income: 58125, Poverty: 4.8
Entry(163): Total Pop: 2925, State: Montana, County: Fallon County, Income: 56806, Poverty: 5.8
Entry(164): Total Pop: 2931, State: Kansas, County: Morton County, Income: 43813, Poverty: 8.0
Entry(165): Total Pop: 2932, State: Texas, County: Cochran County, Income: 37500, Poverty: 24.8
Entry(166): Total Pop: 2940, State: South Dakota, County: Douglas County, Income: 52543, Poverty: 8.2
Entry(167): Total Pop: 2946, State: Kansas, County: Edwards County, Income: 50229, Poverty: 10.2
Entry(168): Total Pop: 2963, State: Kansas, County: Jewell County, Income: 43125, Poverty: 14.2
Entry(169): Total Pop: 2964, State: South Dakota, County: Perkins County, Income: 50450, Poverty: 12.0
Entry(170): Total Pop: 2971, State: North Dakota, County: Nelson County, Income: 52417, Poverty: 8.4
Entry(171): Total Pop: 2994, State: South Dakota, County: Stanley County, Income: 63233, Poverty: 5.8
Entry(172): Total Pop: 3001, State: Kansas, County: Ness County, Income: 48412, Poverty: 8.9
Entry(173): Total Pop: 3019, State: Nebraska, County: Franklin County, Income: 49453, Poverty: 13.3
Entry(174): Total Pop: 3024, State: Georgia, County: Clay County, Income: 23315, Poverty: 41.4
Entry(175): Total Pop: 3026, State: Texas, County: Collingsworth County, Income: 46348, Poverty: 15.0
Entry(176): Total Pop: 3027, State: Georgia, County: Glascock County, Income: 45273, Poverty: 11.5
Entry(177): Total Pop: 3048, State: Nebraska, County: Sherman County, Income: 48704, Poverty: 10.7
Entry(178): Total Pop: 3058, State: Nebraska, County: Brown County, Income: 42773, Poverty: 16.0
Entry(179): Total Pop: 3067, State: Texas, County: Sherman County, Income: 54961, Poverty: 14.8
Entry(180): Total Pop: 3102, State: Texas, County: Hall County, Income: 31324, Poverty: 22.2
Entry(181): Total Pop: 3119, State: Kansas, County: Rush County, Income: 43594, Poverty: 6.7
Entry(182): Total Pop: 3121, State: Kansas, County: Lincoln County, Income: 48693, Poverty: 8.4
Entry(183): Total Pop: 3122, State: Texas, County: Schleicher County, Income: 63432, Poverty: 10.2
Entry(184): Total Pop: 3178, State: Kansas, County: Woodson County, Income: 36493, Poverty: 20.6
Entry(185): Total Pop: 3206, State: Montana, County: Granite County, Income: 49063, Poverty: 9.9
Entry(186): Total Pop: 3226, State: North Dakota, County: Bowman County, Income: 65435, Poverty: 8.5
Entry(187): Total Pop: 3238, State: Texas, County: Coke County, Income: 42500, Poverty: 16.6
Entry(188): Total Pop: 3251, State: Georgia, County: Baker County, Income: 43867, Poverty: 19.5
Entry(189): Total Pop: 3275, State: Alaska, County: Petersburg Borough, Income: 63490, Poverty: 7.8
Entry(190): Total Pop: 3275, State: South Dakota, County: Jackson County, Income: 38041, Poverty: 44.8
Entry(191): Total Pop: 3303, State: South Dakota, County: Hand County, Income: 50720, Poverty: 8.2
Entry(192): Total Pop: 3318, State: North Dakota, County: Foster County, Income: 59500, Poverty: 7.1
Entry(193): Total Pop: 3338, State: Alaska, County: Aleutians East Borough, Income: 66607, Poverty: 16.7
Entry(194): Total Pop: 3348, State: Texas, County: Shackelford County, Income: 46685, Poverty: 17.7
Entry(195): Total Pop: 3357, State: Minnesota, County: Traverse County, Income: 48889, Poverty: 10.9
Entry(196): Total Pop: 3358, State: Texas, County: Real County, Income: 36493, Poverty: 20.2
Entry(197): Total Pop: 3389, State: North Dakota, County: Emmons County, Income: 46581, Poverty: 11.9
Entry(198): Total Pop: 3404, State: South Dakota, County: Hanson County, Income: 62448, Poverty: 6.5
Entry(199): Total Pop: 3425, State: Kansas, County: Chautauqua County, Income: 39531, Poverty: 14.3
Entry(200): Total Pop: 3433, State: Texas, County: Donley County, Income: 44429, Poverty: 14.9
Entry(201): Total Pop: 3440, State: South Dakota, County: Bennett County, Income: 45725, Poverty: 38.1
Entry(202): Total Pop: 3469, State: Nebraska, County: Harlan County, Income: 46750, Poverty: 12.9
Entry(203): Total Pop: 3495, State: Texas, County: Lipscomb County, Income: 59583, Poverty: 10.5
Entry(204): Total Pop: 3547, State: New Mexico, County: Catron County, Income: 42047, Poverty: 21.5
Entry(205): Total Pop: 3568, State: Montana, County: Sheridan County, Income: 51940, Poverty: 12.2
Entry(206): Total Pop: 3569, State: Nebraska, County: Nance County, Income: 45428, Poverty: 11.7
Entry(207): Total Pop: 3575, State: Texas, County: Upton County, Income: 52750, Poverty: 18.0
Entry(208): Total Pop: 3581, State: Colorado, County: Baca County, Income: 35898, Poverty: 19.5
Entry(209): Total Pop: 3597, State: Nebraska, County: Webster County, Income: 43831, Poverty: 11.3
Entry(210): Total Pop: 3602, State: Texas, County: Baylor County, Income: 36157, Poverty: 13.1
Entry(211): Total Pop: 3628, State: Colorado, County: Costilla County, Income: 29000, Poverty: 29.6
Entry(212): Total Pop: 3631, State: Texas, County: Kinney County, Income: 34926, Poverty: 10.6
Entry(213): Total Pop: 3642, State: South Dakota, County: Clark County, Income: 47500, Poverty: 13.3
Entry(214): Total Pop: 3646, State: Montana, County: Sweet Grass County, Income: 49761, Poverty: 10.4
Entry(215): Total Pop: 3669, State: Missouri, County: Mercer County, Income: 43314, Poverty: 17.7
Entry(216): Total Pop: 3684, State: Kansas, County: Osborne County, Income: 42173, Poverty: 15.5
Entry(217): Total Pop: 3688, State: Nebraska, County: Kimball County, Income: 43017, Poverty: 11.4
Entry(218): Total Pop: 3693, State: Kansas, County: Smith County, Income: 45357, Poverty: 13.3
Entry(219): Total Pop: 3702, State: Texas, County: Hudspeth County, Income: 26346, Poverty: 35.6
Entry(220): Total Pop: 3734, State: Oklahoma, County: Roger Mills County, Income: 51286, Poverty: 18.4
Entry(221): Total Pop: 3735, State: Texas, County: Reagan County, Income: 59760, Poverty: 18.0
Entry(222): Total Pop: 3753, State: Texas, County: Knox County, Income: 46319, Poverty: 14.7
Entry(223): Total Pop: 3785, State: Iowa, County: Adams County, Income: 49745, Poverty: 11.2
Entry(224): Total Pop: 3803, State: Nebraska, County: Chase County, Income: 54568, Poverty: 8.0
Entry(225): Total Pop: 3817, State: North Dakota, County: Cavalier County, Income: 65505, Poverty: 8.6
Entry(226): Total Pop: 3824, State: Idaho, County: Lewis County, Income: 40313, Poverty: 15.3
Entry(227): Total Pop: 3836, State: Texas, County: Crockett County, Income: 52310, Poverty: 20.9
Entry(228): Total Pop: 3841, State: Minnesota, County: Lake of the Woods County, Income: 46943, Poverty: 7.4
Entry(229): Total Pop: 3843, State: Oklahoma, County: Harper County, Income: 46915, Poverty: 13.2
Entry(230): Total Pop: 3858, State: Texas, County: Concho County, Income: 46696, Poverty: 8.5
Entry(231): Total Pop: 3875, State: Texas, County: Fisher County, Income: 45294, Poverty: 17.4
Entry(232): Total Pop: 3882, State: South Dakota, County: Lyman County, Income: 47113, Poverty: 21.7
Entry(233): Total Pop: 3883, State: North Dakota, County: Sargent County, Income: 60824, Poverty: 4.3
Entry(234): Total Pop: 3891, State: Nevada, County: Storey County, Income: 63607, Poverty: 7.7
Entry(235): Total Pop: 3894, State: Texas, County: Sutton County, Income: 60996, Poverty: 6.5
Entry(236): Total Pop: 3931, State: Kansas, County: Kearny County, Income: 51439, Poverty: 13.2
Entry(237): Total Pop: 3946, State: Idaho, County: Adams County, Income: 42727, Poverty: 13.8
Entry(238): Total Pop: 3971, State: South Dakota, County: Edmunds County, Income: 65380, Poverty: 5.9
Entry(239): Total Pop: 3976, State: Missouri, County: Knox County, Income: 39674, Poverty: 20.2
Entry(240): Total Pop: 3990, State: Texas, County: Hardeman County, Income: 37995, Poverty: 13.8
Entry(241): Total Pop: 3999, State: Washington, County: Columbia County, Income: 46250, Poverty: 14.5
Entry(242): Total Pop: 4011, State: Georgia, County: Echols County, Income: 34315, Poverty: 28.2
Entry(243): Total Pop: 4017, State: Minnesota, County: Red Lake County, Income: 52500, Poverty: 9.4
Entry(244): Total Pop: 4043, State: Virginia, County: Norton city, Income: 26971, Poverty: 25.7
Entry(245): Total Pop: 4081, State: Kansas, County: Haskell County, Income: 53780, Poverty: 13.3
Entry(246): Total Pop: 4089, State: North Dakota, County: Wells County, Income: 54464, Poverty: 5.8
Entry(247): Total Pop: 4090, State: North Carolina, County: Tyrrell County, Income: 32411, Poverty: 26.8
Entry(248): Total Pop: 4102, State: Oklahoma, County: Ellis County, Income: 50594, Poverty: 17.2
Entry(249): Total Pop: 4105, State: Washington, County: Wahkiakum County, Income: 49508, Poverty: 13.9
Entry(250): Total Pop: 4106, State: North Dakota, County: LaMoure County, Income: 57463, Poverty: 10.7
Entry(251): Total Pop: 4122, State: Texas, County: Mason County, Income: 40949, Poverty: 12.6
Entry(252): Total Pop: 4139, State: Montana, County: Phillips County, Income: 42101, Poverty: 18.0
Entry(253): Total Pop: 4141, State: Idaho, County: Custer County, Income: 37976, Poverty: 18.9
Entry(254): Total Pop: 4152, State: Texas, County: Hemphill County, Income: 68679, Poverty: 8.8
Entry(255): Total Pop: 4161, State: Illinois, County: Hardin County, Income: 39524, Poverty: 16.6
Entry(256): Total Pop: 4177, State: South Dakota, County: Corson County, Income: 32260, Poverty: 47.9
Entry(257): Total Pop: 4194, State: Montana, County: Mineral County, Income: 40117, Poverty: 20.1
Entry(258): Total Pop: 4209, State: South Dakota, County: Gregory County, Income: 42679, Poverty: 15.3
Entry(259): Total Pop: 4216, State: New Mexico, County: Union County, Income: 38240, Poverty: 14.2
Entry(260): Total Pop: 4251, State: Kansas, County: Stafford County, Income: 47121, Poverty: 14.5
Entry(261): Total Pop: 4252, State: Nebraska, County: Valley County, Income: 50270, Poverty: 11.5
Entry(262): Total Pop: 4272, State: North Dakota, County: Pierce County, Income: 45996, Poverty: 17.6
Entry(263): Total Pop: 4282, State: South Dakota, County: Deuel County, Income: 57969, Poverty: 10.0
Entry(264): Total Pop: 4284, State: Idaho, County: Oneida County, Income: 43491, Poverty: 12.6
Entry(265): Total Pop: 4295, State: Kansas, County: Meade County, Income: 54167, Poverty: 12.2
Entry(266): Total Pop: 4318, State: Nebraska, County: Nuckolls County, Income: 42055, Poverty: 10.8
Entry(267): Total Pop: 4327, State: Colorado, County: Phillips County, Income: 50076, Poverty: 8.1
Entry(268): Total Pop: 4349, State: North Dakota, County: Dunn County, Income: 68594, Poverty: 10.6
Entry(269): Total Pop: 4354, State: Wisconsin, County: Florence County, Income: 47827, Poverty: 8.4
Entry(270): Total Pop: 4360, State: Illinois, County: Pope County, Income: 41139, Poverty: 12.7
Entry(271): Total Pop: 4384, State: Minnesota, County: Kittson County, Income: 52304, Poverty: 11.2
Entry(272): Total Pop: 4420, State: North Dakota, County: Sioux County, Income: 40795, Poverty: 37.1
Entry(273): Total Pop: 4426, State: New Mexico, County: Guadalupe County, Income: 26060, Poverty: 13.0
Entry(274): Total Pop: 4432, State: Texas, County: Kimble County, Income: 41095, Poverty: 22.1
Entry(275): Total Pop: 4446, State: New Mexico, County: Hidalgo County, Income: 31829, Poverty: 26.0
Entry(276): Total Pop: 4450, State: Missouri, County: Schuyler County, Income: 38848, Poverty: 18.4
Entry(277): Total Pop: 4458, State: Virginia, County: Bath County, Income: 44483, Poverty: 9.3
Entry(278): Total Pop: 4458, State: Oklahoma, County: Grant County, Income: 54460, Poverty: 9.6
Entry(279): Total Pop: 4471, State: Nevada, County: Mineral County, Income: 39375, Poverty: 20.3
Entry(280): Total Pop: 4497, State: Kentucky, County: Owsley County, Income: 22736, Poverty: 33.0
Entry(281): Total Pop: 4499, State: Missouri, County: Holt County, Income: 43981, Poverty: 12.0
Entry(282): Total Pop: 4505, State: Colorado, County: Custer County, Income: 41330, Poverty: 15.7
Entry(283): Total Pop: 4506, State: Wisconsin, County: Menominee County, Income: 38080, Poverty: 35.8
Entry(284): Total Pop: 4605, State: New Mexico, County: Mora County, Income: 26644, Poverty: 20.3
Entry(285): Total Pop: 4625, State: Kentucky, County: Hickman County, Income: 38036, Poverty: 14.8
Entry(286): Total Pop: 4631, State: Mississippi, County: Sharkey County, Income: 30033, Poverty: 29.0
Entry(287): Total Pop: 4646, State: New York, County: Hamilton County, Income: 55587, Poverty: 9.7
Entry(288): Total Pop: 4653, State: Colorado, County: Ouray County, Income: 61333, Poverty: 10.4
