Entry(0): County: Abbeville County, State: South Carolina, Total Pop: 24788, Income: 35254, Poverty: 22.7
Entry(53): County: Allen County, State: Kentucky, Total Pop: 20628, Income: 40598, Poverty: 20.0
Entry(54): County: Allen County, State: Ohio, Total Pop: 104157, Income: 47905, Poverty: 15.0
Entry(55): County: Allen Parish, State: Louisiana, Total Pop: 25667, Income: 42176, Poverty: 16.6
Entry(56): County: Allendale County, State: South Carolina, Total Pop: 9402, Income: 23331, Poverty: 30.4
Entry(57): County: Alpena County, State: Michigan, Total Pop: 28730, Income: 40954, Poverty: 15.0
Entry(58): County: Alpine County, State: California, Total Pop: 1203, Income: 63438, Poverty: 19.8
Entry(59): County: Amador County, State: California, Total Pop: 37306, Income: 60636, Poverty: 10.6
Entry(60): County: Amelia County, State: Virginia, Total Pop: 12802, Income: 58535, Poverty: 13.0
Entry(61): County: Amherst County, State: Virginia, Total Pop: 31819, Income: 49677, Poverty: 13.4
Entry(62): County: Amite County, State: Mississippi, Total Pop: 12574, Income: 30129, Poverty: 22.8
Entry(63): County: Anchorage Municipality, State: Alaska, Total Pop: 298225, Income: 82271, Poverty: 8.1
Entry(64): County: Anderson County, State: Kentucky, Total Pop: 22017, Income: 51681, Poverty: 12.0
Entry(65): County: Anderson County, State: Tennessee, Total Pop: 75538, Income: 47206, Poverty: 16.3
Entry(66): County: Anderson County, State: Texas, Total Pop: 57747, Income: 42313, Poverty: 15.7
Entry(67): County: Anderson County, State: Kansas, Total Pop: 7840, Income: 40986, Poverty: 13.6
Entry(68): County: Anderson County, State: South Carolina, Total Pop: 194174, Income: 45551, Poverty: 15.6
Entry(69): County: Andrew County, State: Missouri, Total Pop: 17358, Income: 56658, Poverty: 9.0
Entry(70): County: Andrews County, State: Texas, Total Pop: 17577, Income: 70753, Poverty: 11.9
Entry(71): County: Androscoggin County, State: Maine, Total Pop: 107317, Income: 49538, Poverty: 14.3
Entry(72): County: Angelina County, State: Texas, Total Pop: 87700, Income: 46472, Poverty: 19.1
Entry(73): County: Anne Arundel County, State: Maryland, Total Pop: 564600, Income: 94502, Poverty: 6.1
Entry(74): County: Anoka County, State: Minnesota, Total Pop: 344861, Income: 76796, Poverty: 6.6
Entry(75): County: Anson County, State: North Carolina, Total Pop: 25531, Income: 38123, Poverty: 22.7
Entry(76): County: Antelope County, State: Nebraska, Total Pop: 6406, Income: 46949, Poverty: 11.5
Entry(77): County: Antrim County, State: Michigan, Total Pop: 23133, Income: 50988, Poverty: 12.6
Entry(78): County: Apache County, State: Arizona, Total Pop: 71602, Income: 32360, Poverty: 35.9
Entry(79): County: Appanoose County, State: Iowa, Total Pop: 12547, Income: 40377, Poverty: 17.1
Entry(80): County: Appling County, State: Georgia, Total Pop: 18471, Income: 37089, Poverty: 24.7
Entry(81): County: Appomattox County, State: Virginia, Total Pop: 15462, Income: 54875, Poverty: 14.4
Entry(82): County: Aransas County, State: Texas, Total Pop: 24832, Income: 44601, Poverty: 17.8
Entry(83): County: Arapahoe County, State: Colorado, Total Pop: 626612, Income: 69553, Poverty: 9.9
Entry(84): County: Archer County, State: Texas, Total Pop: 8793, Income: 63192, Poverty: 8.8
Entry(85): County: Archuleta County, State: Colorado, Total Pop: 12592, Income: 48016, Poverty: 11.6
Entry(86): County: Arecibo Municipio, State: Puerto Rico, Total Pop: 89550, Income: 17289, Poverty: 48.6
Entry(87): County: Arenac County, State: Michigan, Total Pop: 15238, Income: 39947, Poverty: 18.5
Entry(88): County: Arkansas County, State: Arkansas, Total Pop: 18352, Income: 38532, Poverty: 20.7
Entry(89): County: Arlington County, State: Virginia, Total Pop: 229534, Income: 112138, Poverty: 8.2
Entry(90): County: Armstrong County, State: Pennsylvania, Total Pop: 66737, Income: 47527, Poverty: 13.0
Entry(91): County: Armstrong County, State: Texas, Total Pop: 1929, Income: 68750, Poverty: 7.5
Entry(92): County: Aroostook County, State: Maine, Total Pop: 68840, Income: 39021, Poverty: 17.5
Entry(93): County: Arroyo Municipio, State: Puerto Rico, Total Pop: 18504, Income: 15689, Poverty: 56.7
Entry(94): County: Arthur County, State: Nebraska, Total Pop: 421, Income: 41250, Poverty: 10.9
Entry(95): County: Ascension Parish, State: Louisiana, Total Pop: 119129, Income: 74748, Poverty: 11.7
Entry(96): County: Ashe County, State: North Carolina, Total Pop: 26833, Income: 40293, Poverty: 19.4
Entry(97): County: Ashland County, State: Ohio, Total Pop: 53299, Income: 50893, Poverty: 14.2
Entry(98): County: Ashland County, State: Wisconsin, Total Pop: 15779, Income: 41505, Poverty: 14.6
Entry(99): County: Ashley County, State: Arkansas, Total Pop: 20771, Income: 36407, Poverty: 21.3
Entry(100): County: Ashtabula County, State: Ohio, Total Pop: 98622, Income: 43017, Poverty: 19.8
Entry(101): County: Asotin County, State: Washington, Total Pop: 22259, Income: 47483, Poverty: 13.5
Entry(102): County: Assumption Parish, State: Louisiana, Total Pop: 22881, Income: 48656, Poverty: 15.7
Entry(103): County: Atascosa County, State: Texas, Total Pop: 48139, Income: 55194, Poverty: 14.6
Entry(104): County: Atchison County, State: Kansas, Total Pop: 16466, Income: 46640, Poverty: 18.5
Entry(105): County: Atchison County, State: Missouri, Total Pop: 5335, Income: 45259, Poverty: 12.1
Entry(106): County: Athens County, State: Ohio, Total Pop: 65563, Income: 37191, Poverty: 30.2
Entry(107): County: Atkinson County, State: Georgia, Total Pop: 8313, Income: 33063, Poverty: 27.4
Entry(108): County: Atlantic County, State: New Jersey, Total Pop: 272926, Income: 57514, Poverty: 15.3
Entry(109): County: Atoka County, State: Oklahoma, Total Pop: 13899, Income: 37106, Poverty: 19.8
Entry(110): County: Attala County, State: Mississippi, Total Pop: 18731, Income: 33815, Poverty: 22.6
Entry(111): County: Audrain County, State: Missouri, Total Pop: 25763, Income: 44056, Poverty: 16.7
Entry(112): County: Audubon County, State: Iowa, Total Pop: 5711, Income: 48750, Poverty: 11.1
Entry(113): County: Auglaize County, State: Ohio, Total Pop: 45778, Income: 59516, Poverty: 9.0
Entry(114): County: Augusta County, State: Virginia, Total Pop: 74390, Income: 59544, Poverty: 8.8
Entry(115): County: Aurora County, State: South Dakota, Total Pop: 2739, Income: 57257, Poverty: 6.2
Entry(116): County: Austin County, State: Texas, Total Pop: 29292, Income: 62614, Poverty: 13.4
Entry(117): County: Autauga County, State: Alabama, Total Pop: 55036, Income: 55317, Poverty: 13.7
Entry(118): County: Avery County, State: North Carolina, Total Pop: 17535, Income: 37109, Poverty: 14.7
Entry(119): County: Avoyelles Parish, State: Louisiana, Total Pop: 41095, Income: 36763, Poverty: 23.7
Entry(120): County: Añasco Municipio, State: Puerto Rico, Total Pop: 27892, Income: 18765, Poverty: 45.4
Entry(121): County: Baca County, State: Colorado, Total Pop: 3581, Income: 35898, Poverty: 19.5
Entry(122): County: Bacon County, State: Georgia, Total Pop: 11279, Income: 38824, Poverty: 23.2
Entry(123): County: Bailey County, State: Texas, Total Pop: 7098, Income: 43523, Poverty: 22.3
Entry(124): County: Baker County, State: Georgia, Total Pop: 3251, Income: 43867, Poverty: 19.5
Entry(125): County: Baker County, State: Florida, Total Pop: 27537, Income: 59506, Poverty: 17.2
Entry(126): County: Baker County, State: Oregon, Total Pop: 15980, Income: 43765, Poverty: 15.3
Entry(127): County: Baldwin County, State: Alabama, Total Pop: 203360, Income: 52562, Poverty: 11.8
Entry(128): County: Baldwin County, State: Georgia, Total Pop: 45527, Income: 37008, Poverty: 27.8
Entry(129): County: Ballard County, State: Kentucky, Total Pop: 8152, Income: 42988, Poverty: 18.2
Entry(130): County: Baltimore County, State: Maryland, Total Pop: 828637, Income: 71810, Poverty: 9.1
Entry(131): County: Baltimore city, State: Maryland, Total Pop: 619796, Income: 46641, Poverty: 22.4
Entry(132): County: Bamberg County, State: South Carolina, Total Pop: 14842, Income: 32330, Poverty: 24.5
Entry(133): County: Bandera County, State: Texas, Total Pop: 21316, Income: 56413, Poverty: 16.5
Entry(134): County: Banks County, State: Georgia, Total Pop: 18363, Income: 42182, Poverty: 14.3
Entry(135): County: Banner County, State: Nebraska, Total Pop: 728, Income: 55000, Poverty: 8.9
Entry(136): County: Bannock County, State: Idaho, Total Pop: 84113, Income: 47390, Poverty: 17.6
Entry(137): County: Baraga County, State: Michigan, Total Pop: 8580, Income: 42757, Poverty: 14.4
Entry(138): County: Barber County, State: Kansas, Total Pop: 4905, Income: 52075, Poverty: 15.9
Entry(139): County: Barbour County, State: Alabama, Total Pop: 26201, Income: 33368, Poverty: 27.2
Entry(140): County: Barbour County, State: West Virginia, Total Pop: 16790, Income: 37516, Poverty: 22.5
Entry(141): County: Barceloneta Municipio, State: Puerto Rico, Total Pop: 24583, Income: 17113, Poverty: 48.6
Entry(142): County: Barnes County, State: North Dakota, Total Pop: 10971, Income: 56237, Poverty: 10.0
Entry(143): County: Barnstable County, State: Massachusetts, Total Pop: 213900, Income: 68048, Poverty: 7.5
Entry(144): County: Barnwell County, State: South Carolina, Total Pop: 21788, Income: 34035, Poverty: 27.0
Entry(145): County: Barranquitas Municipio, State: Puerto Rico, Total Pop: 29237, Income: 15694, Poverty: 60.7
Entry(146): County: Barren County, State: Kentucky, Total Pop: 43418, Income: 39658, Poverty: 22.9
Entry(147): County: Barron County, State: Wisconsin, Total Pop: 45358, Income: 49257, Poverty: 11.5
Entry(148): County: Barrow County, State: Georgia, Total Pop: 75099, Income: 56119, Poverty: 13.2
Entry(149): County: Barry County, State: Missouri, Total Pop: 35398, Income: 40638, Poverty: 20.5
Entry(150): County: Barry County, State: Michigan, Total Pop: 59607, Income: 57312, Poverty: 9.3
Entry(151): County: Bartholomew County, State: Indiana, Total Pop: 81024, Income: 57331, Poverty: 12.4
Entry(152): County: Barton County, State: Kansas, Total Pop: 27067, Income: 46070, Poverty: 15.7
Entry(153): County: Barton County, State: Missouri, Total Pop: 11942, Income: 41184, Poverty: 20.9
Entry(154): County: Bartow County, State: Georgia, Total Pop: 102623, Income: 52393, Poverty: 14.2
Entry(155): County: Bastrop County, State: Texas, Total Pop: 80306, Income: 59185, Poverty: 13.3
Entry(156): County: Bates County, State: Missouri, Total Pop: 16405, Income: 45605, Poverty: 14.3
Entry(157): County: Bath County, State: Kentucky, Total Pop: 12189, Income: 38763, Poverty: 24.0
Entry(158): County: Bath County, State: Virginia, Total Pop: 4458, Income: 44483, Poverty: 9.3
Entry(159): County: Baxter County, State: Arkansas, Total Pop: 41093, Income: 40072, Poverty: 12.6
Entry(160): County: Bay County, State: Florida, Total Pop: 180117, Income: 50283, Poverty: 15.4
Entry(161): County: Bay County, State: Michigan, Total Pop: 105350, Income: 45983, Poverty: 16.3
Entry(162): County: Bayamón Municipio, State: Puerto Rico, Total Pop: 188614, Income: 25528, Poverty: 34.7
Entry(163): County: Bayfield County, State: Wisconsin, Total Pop: 15004, Income: 50110, Poverty: 11.0
Entry(164): County: Baylor County, State: Texas, Total Pop: 3602, Income: 36157, Poverty: 13.1
Entry(165): County: Beadle County, State: South Dakota, Total Pop: 18163, Income: 48995, Poverty: 23.7
Entry(166): County: Bear Lake County, State: Idaho, Total Pop: 5942, Income: 50603, Poverty: 14.5
Entry(167): County: Beaufort County, State: North Carolina, Total Pop: 47316, Income: 41101, Poverty: 19.1
Entry(168): County: Beaufort County, State: South Carolina, Total Pop: 179316, Income: 60603, Poverty: 11.9
Entry(169): County: Beauregard Parish, State: Louisiana, Total Pop: 36598, Income: 47350, Poverty: 17.3
Entry(170): County: Beaver County, State: Pennsylvania, Total Pop: 168161, Income: 53981, Poverty: 10.8
Entry(171): County: Beaver County, State: Utah, Total Pop: 6414, Income: 47878, Poverty: 10.5
Entry(172): County: Beaver County, State: Oklahoma, Total Pop: 5445, Income: 52571, Poverty: 11.7
Entry(173): County: Beaverhead County, State: Montana, Total Pop: 9360, Income: 43880, Poverty: 16.1
Entry(174): County: Becker County, State: Minnesota, Total Pop: 33552, Income: 55884, Poverty: 12.7
Entry(175): County: Beckham County, State: Oklahoma, Total Pop: 22971, Income: 49625, Poverty: 12.6
Entry(176): County: Bedford County, State: Pennsylvania, Total Pop: 48891, Income: 48703, Poverty: 13.6
Entry(177): County: Bedford County, State: Tennessee, Total Pop: 46854, Income: 47117, Poverty: 16.9
Entry(178): County: Bedford County, State: Virginia, Total Pop: 77319, Income: 59405, Poverty: 8.9
Entry(179): County: Bee County, State: Texas, Total Pop: 32729, Income: 45415, Poverty: 19.7
Entry(180): County: Belknap County, State: New Hampshire, Total Pop: 60383, Income: 65834, Poverty: 9.1
Entry(181): County: Bell County, State: Texas, Total Pop: 336506, Income: 52583, Poverty: 14.3
Entry(182): County: Bell County, State: Kentucky, Total Pop: 27469, Income: 23558, Poverty: 38.0
Entry(183): County: Belmont County, State: Ohio, Total Pop: 68889, Income: 46484, Poverty: 14.1
Entry(184): County: Beltrami County, State: Minnesota, Total Pop: 45847, Income: 45923, Poverty: 19.0
Entry(185): County: Ben Hill County, State: Georgia, Total Pop: 17272, Income: 32344, Poverty: 30.4
Entry(186): County: Benewah County, State: Idaho, Total Pop: 9050, Income: 43472, Poverty: 15.8
Entry(187): County: Bennett County, State: South Dakota, Total Pop: 3440, Income: 45725, Poverty: 38.1
Entry(188): County: Bennington County, State: Vermont, Total Pop: 36054, Income: 52251, Poverty: 12.8
Entry(189): County: Benson County, State: North Dakota, Total Pop: 6875, Income: 44500, Poverty: 33.3
Entry(190): County: Bent County, State: Colorado, Total Pop: 5806, Income: 32500, Poverty: 24.5
Entry(191): County: Benton County, State: Indiana, Total Pop: 8685, Income: 49183, Poverty: 14.9
Entry(192): County: Benton County, State: Mississippi, Total Pop: 8306, Income: 40605, Poverty: 20.2
Entry(193): County: Benton County, State: Missouri, Total Pop: 18918, Income: 35097, Poverty: 18.6
Entry(194): County: Benton County, State: Tennessee, Total Pop: 16154, Income: 33702, Poverty: 22.3
Entry(195): County: Benton County, State: Washington, Total Pop: 190529, Income: 63001, Poverty: 13.4
Entry(196): County: Benton County, State: Minnesota, Total Pop: 39360, Income: 53574, Poverty: 14.1
Entry(197): County: Benton County, State: Arkansas, Total Pop: 251823, Income: 61271, Poverty: 10.5
Entry(198): County: Benton County, State: Iowa, Total Pop: 25646, Income: 64061, Poverty: 8.7
Entry(199): County: Benton County, State: Oregon, Total Pop: 88249, Income: 54682, Poverty: 20.7
Entry(200): County: Benzie County, State: Michigan, Total Pop: 17462, Income: 53185, Poverty: 10.0
Entry(201): County: Bergen County, State: New Jersey, Total Pop: 937920, Income: 91572, Poverty: 7.2
Entry(202): County: Berkeley County, State: South Carolina, Total Pop: 204632, Income: 56697, Poverty: 12.8
Entry(203): County: Berkeley County, State: West Virginia, Total Pop: 111610, Income: 59480, Poverty: 13.0
Entry(204): County: Berks County, State: Pennsylvania, Total Pop: 415500, Income: 59580, Poverty: 13.6
Entry(205): County: Berkshire County, State: Massachusetts, Total Pop: 127751, Income: 55190, Poverty: 11.3
Entry(206): County: Bernalillo County, State: New Mexico, Total Pop: 674855, Income: 50386, Poverty: 18.0
Entry(207): County: Berrien County, State: Georgia, Total Pop: 19014, Income: 38297, Poverty: 23.7
Entry(208): County: Berrien County, State: Michigan, Total Pop: 154948, Income: 47132, Poverty: 17.2
Entry(209): County: Bertie County, State: North Carolina, Total Pop: 19913, Income: 31287, Poverty: 22.0
Entry(210): County: Bethel Census Area, State: Alaska, Total Pop: 17957, Income: 53853, Poverty: 27.0
Entry(211): County: Bexar County, State: Texas, Total Pop: 1892004, Income: 53999, Poverty: 16.4
Entry(212): County: Bibb County, State: Georgia, Total Pop: 153923, Income: 38183, Poverty: 26.7
Entry(213): County: Bibb County, State: Alabama, Total Pop: 22580, Income: 43404, Poverty: 15.2
Entry(214): County: Bienville Parish, State: Louisiana, Total Pop: 13806, Income: 34077, Poverty: 25.3
Entry(215): County: Big Horn County, State: Wyoming, Total Pop: 11920, Income: 51716, Poverty: 13.0
Entry(216): County: Big Horn County, State: Montana, Total Pop: 13290, Income: 47276, Poverty: 26.8
Entry(217): County: Big Stone County, State: Minnesota, Total Pop: 5039, Income: 48299, Poverty: 11.7
Entry(218): County: Billings County, State: North Dakota, Total Pop: 983, Income: 91518, Poverty: 10.3
Entry(219): County: Bingham County, State: Idaho, Total Pop: 45369, Income: 51307, Poverty: 13.1
Entry(220): County: Black Hawk County, State: Iowa, Total Pop: 132960, Income: 50916, Poverty: 15.9
Entry(221): County: Blackford County, State: Indiana, Total Pop: 12214, Income: 40622, Poverty: 12.8
Entry(222): County: Bladen County, State: North Carolina, Total Pop: 34130, Income: 32396, Poverty: 24.5
Entry(223): County: Blaine County, State: Montana, Total Pop: 6646, Income: 35506, Poverty: 32.7
Entry(224): County: Blaine County, State: Oklahoma, Total Pop: 9680, Income: 46362, Poverty: 15.0
Entry(225): County: Blaine County, State: Idaho, Total Pop: 21583, Income: 58835, Poverty: 14.8
Entry(226): County: Blaine County, State: Nebraska, Total Pop: 502, Income: 52000, Poverty: 9.8
Entry(227): County: Blair County, State: Pennsylvania, Total Pop: 124736, Income: 45664, Poverty: 15.2
Entry(228): County: Blanco County, State: Texas, Total Pop: 11089, Income: 58500, Poverty: 10.8
Entry(229): County: Bland County, State: Virginia, Total Pop: 6524, Income: 46927, Poverty: 8.3
Entry(230): County: Bleckley County, State: Georgia, Total Pop: 12779, Income: 40688, Poverty: 23.0
Entry(231): County: Bledsoe County, State: Tennessee, Total Pop: 14413, Income: 40450, Poverty: 20.7
Entry(232): County: Blount County, State: Tennessee, Total Pop: 127135, Income: 51172, Poverty: 13.0
Entry(233): County: Blount County, State: Alabama, Total Pop: 57667, Income: 47412, Poverty: 15.6
Entry(234): County: Blue Earth County, State: Minnesota, Total Pop: 65767, Income: 53752, Poverty: 18.1
Entry(235): County: Boise County, State: Idaho, Total Pop: 6968, Income: 49964, Poverty: 11.3
Entry(236): County: Bolivar County, State: Mississippi, Total Pop: 33121, Income: 28468, Poverty: 37.4
Entry(237): County: Bollinger County, State: Missouri, Total Pop: 12347, Income: 40791, Poverty: 19.9
Entry(238): County: Bon Homme County, State: South Dakota, Total Pop: 6972, Income: 52923, Poverty: 10.3
Entry(239): County: Bond County, State: Illinois, Total Pop: 17034, Income: 54393, Poverty: 15.7
Entry(240): County: Bonner County, State: Idaho, Total Pop: 41855, Income: 45607, Poverty: 14.0
Entry(241): County: Bonneville County, State: Idaho, Total Pop: 110404, Income: 54150, Poverty: 11.9
Entry(242): County: Boone County, State: Arkansas, Total Pop: 37212, Income: 40727, Poverty: 15.8
Entry(243): County: Boone County, State: Kentucky, Total Pop: 127682, Income: 72731, Poverty: 7.6
Entry(244): County: Boone County, State: Iowa, Total Pop: 26381, Income: 57906, Poverty: 9.4
Entry(245): County: Boone County, State: Indiana, Total Pop: 63013, Income: 75591, Poverty: 6.1
Entry(246): County: Boone County, State: Missouri, Total Pop: 174589, Income: 52005, Poverty: 18.7
Entry(247): County: Boone County, State: Illinois, Total Pop: 53638, Income: 62701, Poverty: 10.6
Entry(248): County: Boone County, State: Nebraska, Total Pop: 5357, Income: 53854, Poverty: 7.3
Entry(249): County: Boone County, State: West Virginia, Total Pop: 23236, Income: 37955, Poverty: 24.4
Entry(250): County: Borden County, State: Texas, Total Pop: 602, Income: 77708, Poverty: 2.8
Entry(251): County: Bosque County, State: Texas, Total Pop: 17955, Income: 48677, Poverty: 15.6
Entry(252): County: Bossier Parish, State: Louisiana, Total Pop: 125698, Income: 52145, Poverty: 16.4
Entry(253): County: Botetourt County, State: Virginia, Total Pop: 33149, Income: 64733, Poverty: 7.7
Entry(254): County: Bottineau County, State: North Dakota, Total Pop: 6651, Income: 58767, Poverty: 8.6
Entry(255): County: Boulder County, State: Colorado, Total Pop: 316782, Income: 75669, Poverty: 13.1
Entry(256): County: Boundary County, State: Idaho, Total Pop: 11323, Income: 39512, Poverty: 18.3
Entry(257): County: Bourbon County, State: Kentucky, Total Pop: 20017, Income: 47886, Poverty: 16.6
Entry(258): County: Bourbon County, State: Kansas, Total Pop: 14757, Income: 39379, Poverty: 17.6
Entry(259): County: Bowie County, State: Texas, Total Pop: 93635, Income: 46283, Poverty: 17.9
Entry(260): County: Bowman County, State: North Dakota, Total Pop: 3226, Income: 65435, Poverty: 8.5
Entry(261): County: Box Butte County, State: Nebraska, Total Pop: 11200, Income: 56328, Poverty: 10.9
Entry(262): County: Box Elder County, State: Utah, Total Pop: 52182, Income: 58835, Poverty: 10.2
Entry(263): County: Boyd County, State: Nebraska, Total Pop: 2049, Income: 48750, Poverty: 9.8
Entry(264): County: Boyd County, State: Kentucky, Total Pop: 48486, Income: 45543, Poverty: 19.3
Entry(265): County: Boyle County, State: Kentucky, Total Pop: 29773, Income: 43076, Poverty: 15.5
Entry(266): County: Bracken County, State: Kentucky, Total Pop: 8330, Income: 40458, Poverty: 21.4
Entry(267): County: Bradford County, State: Pennsylvania, Total Pop: 61546, Income: 50900, Poverty: 12.2
Entry(268): County: Bradford County, State: Florida, Total Pop: 26775, Income: 46106, Poverty: 18.8
Entry(269): County: Bradley County, State: Arkansas, Total Pop: 10994, Income: 36310, Poverty: 26.4
Entry(270): County: Bradley County, State: Tennessee, Total Pop: 103666, Income: 46381, Poverty: 18.0
Entry(271): County: Branch County, State: Michigan, Total Pop: 43543, Income: 48192, Poverty: 15.9
Entry(272): County: Brantley County, State: Georgia, Total Pop: 18411, Income: 36812, Poverty: 21.8
Entry(273): County: Braxton County, State: West Virginia, Total Pop: 14345, Income: 41266, Poverty: 22.1
Entry(274): County: Brazoria County, State: Texas, Total Pop: 345995, Income: 76426, Poverty: 9.9
Entry(275): County: Brazos County, State: Texas, Total Pop: 214231, Income: 43907, Poverty: 26.0
Entry(276): County: Breathitt County, State: Kentucky, Total Pop: 13276, Income: 25861, Poverty: 36.0
Entry(277): County: Breckinridge County, State: Kentucky, Total Pop: 19991, Income: 44057, Poverty: 17.7
Entry(278): County: Bremer County, State: Iowa, Total Pop: 24741, Income: 65440, Poverty: 7.7
Entry(279): County: Brevard County, State: Florida, Total Pop: 568183, Income: 51536, Poverty: 13.4
Entry(280): County: Brewster County, State: Texas, Total Pop: 9220, Income: 38906, Poverty: 10.9
Entry(281): County: Briscoe County, State: Texas, Total Pop: 1591, Income: 42500, Poverty: 13.9
Entry(282): County: Bristol Bay Borough, State: Alaska, Total Pop: 917, Income: 79500, Poverty: 7.1
Entry(283): County: Bristol County, State: Rhode Island, Total Pop: 49028, Income: 74630, Poverty: 7.0
Entry(284): County: Bristol County, State: Massachusetts, Total Pop: 557016, Income: 62514, Poverty: 12.2
Entry(285): County: Bristol city, State: Virginia, Total Pop: 17077, Income: 37844, Poverty: 21.3
