Entry(0): State: Alabama, Total Pop: 55036, County: Autauga County, Income: 55317, Poverty: 13.7
Entry(40): State: Alabama, Total Pop: 204424, County: Tuscaloosa County, Income: 50513, Poverty: 17.3
Entry(41): State: Alabama, Total Pop: 22580, County: Bibb County, Income: 43404, Poverty: 15.2
Entry(42): State: Alabama, Total Pop: 33895, County: Chambers County, Income: 37342, Poverty: 18.8
Entry(43): State: Alabama, Total Pop: 13407, County: Clay County, Income: 37287, Poverty: 19.1
Entry(44): State: Alabama, Total Pop: 10955, County: Coosa County, Income: 34792, Poverty: 14.4
Entry(45): State: Alabama, Total Pop: 40755, County: Dallas County, Income: 30065, Poverty: 31.9
Entry(46): State: Alabama, Total Pop: 16657, County: Fayette County, Income: 36541, Poverty: 18.1
Entry(47): State: Alabama, Total Pop: 17110, County: Henry County, Income: 45569, Poverty: 13.7
Entry(48): State: Alabama, Total Pop: 92590, County: Lauderdale County, Income: 44888, Poverty: 16.3
Entry(49): State: Alabama, Total Pop: 19358, County: Macon County, Income: 32308, Poverty: 25.9
Entry(50): State: Alabama, Total Pop: 414328, County: Mobile County, Income: 45802, Poverty: 19.3
Entry(51): State: Alabama, Total Pop: 20170, County: Pickens County, Income: 36220, Poverty: 22.9
Entry(52): State: Alabama, Total Pop: 208721, County: Shelby County, Income: 74063, Poverty: 8.3
Entry(53): State: Alabama, Total Pop: 64927, County: Walker County, Income: 38872, Poverty: 21.5
Entry(54): State: Alabama, Total Pop: 57667, County: Blount County, Income: 47412, Poverty: 15.6
Entry(55): State: Alabama, Total Pop: 25855, County: Cherokee County, Income: 40041, Poverty: 16.1
Entry(56): State: Alabama, Total Pop: 14939, County: Cleburne County, Income: 37396, Poverty: 19.1
Entry(57): State: Alabama, Total Pop: 37519, County: Covington County, Income: 39467, Poverty: 17.6
Entry(58): State: Alabama, Total Pop: 71194, County: DeKalb County, Income: 38842, Poverty: 21.5
Entry(59): State: Alabama, Total Pop: 31507, County: Franklin County, Income: 39501, Poverty: 23.0
Entry(60): State: Alabama, Total Pop: 104108, County: Houston County, Income: 42803, Poverty: 18.5
Entry(61): State: Alabama, Total Pop: 33288, County: Lawrence County, Income: 43779, Poverty: 16.6
Entry(62): State: Alabama, Total Pop: 353213, County: Madison County, Income: 61318, Poverty: 13.6
Entry(63): State: Alabama, Total Pop: 21745, County: Monroe County, Income: 26036, Poverty: 33.7
Entry(64): State: Alabama, Total Pop: 33287, County: Pike County, Income: 35684, Poverty: 26.3
Entry(65): State: Alabama, Total Pop: 13084, County: Sumter County, Income: 21663, Poverty: 36.0
Entry(66): State: Alabama, Total Pop: 16746, County: Washington County, Income: 42185, Poverty: 22.0
Entry(67): State: Alaska, Total Pop: 17957, County: Bethel Census Area, Income: 53853, Poverty: 27.0
Entry(68): State: Alaska, Total Pop: 2537, County: Haines Borough, Income: 70640, Poverty: 8.4
Entry(69): State: Alaska, Total Pop: 13773, County: Kodiak Island Borough, Income: 74167, Poverty: 9.3
Entry(70): State: Alaska, Total Pop: 9757, County: North Slope Borough, Income: 77266, Poverty: 10.2
Entry(71): State: Alaska, Total Pop: 1038, County: Skagway Municipality, Income: 70673, Poverty: 5.6
Entry(72): State: Alaska, Total Pop: 5453, County: Yukon-Koyukuk Census Area, Income: 37819, Poverty: 25.5
Entry(73): State: Alaska, Total Pop: 917, County: Bristol Bay Borough, Income: 79500, Poverty: 7.1
Entry(74): State: Alaska, Total Pop: 2146, County: Hoonah-Angoon Census Area, Income: 57900, Poverty: 11.1
Entry(75): State: Alaska, Total Pop: 8129, County: Kusilvak Census Area, Income: 36468, Poverty: 39.1
Entry(76): State: Alaska, Total Pop: 7715, County: Northwest Arctic Borough, Income: 61533, Poverty: 25.3
Entry(77): State: Alaska, Total Pop: 6889, County: Southeast Fairbanks Census Area, Income: 63866, Poverty: 13.9
Entry(78): State: Alaska, Total Pop: 3338, County: Aleutians East Borough, Income: 66607, Poverty: 16.7
Entry(79): State: Alaska, Total Pop: 2303, County: Denali Borough, Income: 83295, Poverty: 15.5
Entry(80): State: Alaska, Total Pop: 32434, County: Juneau City and Borough, Income: 90749, Poverty: 7.4
Entry(81): State: Alaska, Total Pop: 1301, County: Lake and Peninsula Borough, Income: 45208, Poverty: 16.5
Entry(82): State: Alaska, Total Pop: 3275, County: Petersburg Borough, Income: 63490, Poverty: 7.8
Entry(83): State: Alaska, Total Pop: 9439, County: Valdez-Cordova Census Area, Income: 86019, Poverty: 7.4
Entry(84): State: Alaska, Total Pop: 5784, County: Aleutians West Census Area, Income: 85192, Poverty: 7.5
Entry(85): State: Alaska, Total Pop: 4974, County: Dillingham Census Area, Income: 58708, Poverty: 16.6
Entry(86): State: Alaska, Total Pop: 57961, County: Kenai Peninsula Borough, Income: 65279, Poverty: 11.0
Entry(87): State: Alaska, Total Pop: 101135, County: Matanuska-Susitna Borough, Income: 74887, Poverty: 9.8
Entry(88): State: Alaska, Total Pop: 6473, County: Prince of Wales-Hyder Census Area, Income: 52114, Poverty: 16.0
Entry(89): State: Alaska, Total Pop: 2475, County: Wrangell City and Borough, Income: 56094, Poverty: 11.7
Entry(90): State: Alaska, Total Pop: 298225, County: Anchorage Municipality, Income: 82271, Poverty: 8.1
Entry(91): State: Alaska, Total Pop: 100031, County: Fairbanks North Star Borough, Income: 76250, Poverty: 7.7
Entry(92): State: Alaska, Total Pop: 13745, County: Ketchikan Gateway Borough, Income: 67321, Poverty: 10.6
Entry(93): State: Alaska, Total Pop: 9869, County: Nome Census Area, Income: 53821, Poverty: 24.9
Entry(94): State: Alaska, Total Pop: 8810, County: Sitka City and Borough, Income: 70765, Poverty: 9.2
Entry(95): State: Alaska, Total Pop: 682, County: Yakutat City and Borough, Income: 64583, Poverty: 6.2
Entry(96): State: Arizona, Total Pop: 37700, County: Graham County, Income: 48173, Poverty: 21.4
Entry(97): State: Arizona, Total Pop: 107902, County: Navajo County, Income: 38798, Poverty: 29.1
Entry(98): State: Arizona, Total Pop: 204281, County: Yuma County, Income: 43253, Poverty: 19.7
Entry(99): State: Arizona, Total Pop: 71602, County: Apache County, Income: 32360, Poverty: 35.9
Entry(100): State: Arizona, Total Pop: 9368, County: Greenlee County, Income: 56298, Poverty: 11.5
Entry(101): State: Arizona, Total Pop: 1007257, County: Pima County, Income: 48676, Poverty: 18.3
Entry(102): State: Arizona, Total Pop: 126516, County: Cochise County, Income: 47847, Poverty: 18.1
Entry(103): State: Arizona, Total Pop: 20477, County: La Paz County, Income: 36479, Poverty: 19.7
Entry(104): State: Arizona, Total Pop: 405537, County: Pinal County, Income: 52628, Poverty: 15.5
Entry(105): State: Arizona, Total Pop: 138639, County: Coconino County, Income: 53523, Poverty: 21.0
Entry(106): State: Arizona, Total Pop: 4155501, County: Maricopa County, Income: 58580, Poverty: 15.7
Entry(107): State: Arizona, Total Pop: 46358, County: Santa Cruz County, Income: 39630, Poverty: 21.8
Entry(108): State: Arizona, Total Pop: 53145, County: Gila County, Income: 41179, Poverty: 21.9
Entry(109): State: Arizona, Total Pop: 204691, County: Mohave County, Income: 41567, Poverty: 18.6
Entry(110): State: Arizona, Total Pop: 220972, County: Yavapai County, Income: 48259, Poverty: 14.7
Entry(111): State: Arkansas, Total Pop: 37212, County: Boone County, Income: 40727, Poverty: 15.8
Entry(112): State: Arkansas, Total Pop: 22495, County: Clark County, Income: 37144, Poverty: 21.5
Entry(113): State: Arkansas, Total Pop: 20954, County: Conway County, Income: 39638, Poverty: 18.5
Entry(114): State: Arkansas, Total Pop: 7585, County: Dallas County, Income: 35794, Poverty: 13.2
Entry(115): State: Arkansas, Total Pop: 12092, County: Fulton County, Income: 36051, Poverty: 23.0
Entry(116): State: Arkansas, Total Pop: 33480, County: Hot Spring County, Income: 40626, Poverty: 15.8
Entry(117): State: Arkansas, Total Pop: 71373, County: Jefferson County, Income: 37630, Poverty: 24.7
Entry(118): State: Arkansas, Total Pop: 13885, County: Lincoln County, Income: 38873, Poverty: 17.9
Entry(119): State: Arkansas, Total Pop: 16374, County: Marion County, Income: 36113, Poverty: 19.5
Entry(120): State: Arkansas, Total Pop: 8528, County: Nevada County, Income: 36995, Poverty: 23.0
Entry(121): State: Arkansas, Total Pop: 10893, County: Pike County, Income: 36893, Poverty: 17.3
Entry(122): State: Arkansas, Total Pop: 392848, County: Pulaski County, Income: 48850, Poverty: 17.3
Entry(123): State: Arkansas, Total Pop: 7925, County: Searcy County, Income: 36716, Poverty: 17.4
Entry(124): State: Arkansas, Total Pop: 40022, County: Union County, Income: 41106, Poverty: 20.1
Entry(125): State: Arkansas, Total Pop: 21601, County: Yell County, Income: 39696, Poverty: 17.8
Entry(126): State: Arkansas, Total Pop: 18352, County: Arkansas County, Income: 38532, Poverty: 20.7
Entry(127): State: Arkansas, Total Pop: 10994, County: Bradley County, Income: 36310, Poverty: 26.4
Entry(128): State: Arkansas, Total Pop: 15190, County: Clay County, Income: 32219, Poverty: 22.3
Entry(129): State: Arkansas, Total Pop: 104246, County: Craighead County, Income: 45672, Poverty: 18.3
Entry(130): State: Arkansas, Total Pop: 12094, County: Desha County, Income: 27036, Poverty: 32.6
Entry(131): State: Arkansas, Total Pop: 97994, County: Garland County, Income: 41672, Poverty: 19.1
Entry(132): State: Arkansas, Total Pop: 13472, County: Howard County, Income: 34851, Poverty: 21.0
Entry(133): State: Arkansas, Total Pop: 26155, County: Johnson County, Income: 35758, Poverty: 22.5
Entry(134): State: Arkansas, Total Pop: 12494, County: Little River County, Income: 36963, Poverty: 18.8
Entry(135): State: Arkansas, Total Pop: 43760, County: Miller County, Income: 41862, Poverty: 21.0
Entry(136): State: Arkansas, Total Pop: 7898, County: Newton County, Income: 38134, Poverty: 17.8
Entry(137): State: Arkansas, Total Pop: 24098, County: Poinsett County, Income: 37487, Poverty: 21.4
Entry(138): State: Arkansas, Total Pop: 17514, County: Randolph County, Income: 35930, Poverty: 20.9
Entry(139): State: Arkansas, Total Pop: 127362, County: Sebastian County, Income: 40932, Poverty: 22.5
Entry(140): State: Arkansas, Total Pop: 16751, County: Van Buren County, Income: 34428, Poverty: 19.6
Entry(141): State: Arkansas, Total Pop: 20771, County: Ashley County, Income: 36407, Poverty: 21.3
Entry(142): State: Arkansas, Total Pop: 5194, County: Calhoun County, Income: 37225, Poverty: 19.6
Entry(143): State: Arkansas, Total Pop: 25361, County: Cleburne County, Income: 42312, Poverty: 15.4
Entry(144): State: Arkansas, Total Pop: 62119, County: Crawford County, Income: 43504, Poverty: 16.6
Entry(145): State: Arkansas, Total Pop: 18620, County: Drew County, Income: 36092, Poverty: 24.4
Entry(146): State: Arkansas, Total Pop: 18076, County: Grant County, Income: 49968, Poverty: 14.4
Entry(147): State: Arkansas, Total Pop: 37097, County: Independence County, Income: 39945, Poverty: 18.5
Entry(148): State: Arkansas, Total Pop: 7051, County: Lafayette County, Income: 32500, Poverty: 23.8
Entry(149): State: Arkansas, Total Pop: 21802, County: Logan County, Income: 37982, Poverty: 20.2
Entry(150): State: Arkansas, Total Pop: 43534, County: Mississippi County, Income: 36417, Poverty: 25.6
Entry(151): State: Arkansas, Total Pop: 24378, County: Ouachita County, Income: 32136, Poverty: 26.0
Entry(152): State: Arkansas, Total Pop: 20212, County: Polk County, Income: 33870, Poverty: 26.6
Entry(153): State: Arkansas, Total Pop: 26688, County: St. Francis County, Income: 33102, Poverty: 27.5
Entry(154): State: Arkansas, Total Pop: 17206, County: Sevier County, Income: 43675, Poverty: 21.2
Entry(155): State: Arkansas, Total Pop: 223683, County: Washington County, Income: 47452, Poverty: 18.0
Entry(156): State: Arkansas, Total Pop: 41093, County: Baxter County, Income: 40072, Poverty: 12.6
Entry(157): State: Arkansas, Total Pop: 27782, County: Carroll County, Income: 39686, Poverty: 15.7
Entry(158): State: Arkansas, Total Pop: 8332, County: Cleveland County, Income: 44840, Poverty: 19.3
Entry(159): State: Arkansas, Total Pop: 49278, County: Crittenden County, Income: 38558, Poverty: 23.5
Entry(160): State: Arkansas, Total Pop: 121282, County: Faulkner County, Income: 50316, Poverty: 16.3
Entry(161): State: Arkansas, Total Pop: 44197, County: Greene County, Income: 45566, Poverty: 15.9
Entry(162): State: Arkansas, Total Pop: 13521, County: Izard County, Income: 39135, Poverty: 17.7
Entry(163): State: Arkansas, Total Pop: 16777, County: Lawrence County, Income: 37603, Poverty: 18.4
Entry(164): State: Arkansas, Total Pop: 71568, County: Lonoke County, Income: 57290, Poverty: 12.3
Entry(165): State: Arkansas, Total Pop: 7420, County: Monroe County, Income: 31584, Poverty: 28.6
Entry(166): State: Arkansas, Total Pop: 10320, County: Perry County, Income: 46168, Poverty: 17.8
Entry(167): State: Arkansas, Total Pop: 63372, County: Pope County, Income: 40668, Poverty: 19.8
Entry(168): State: Arkansas, Total Pop: 116252, County: Saline County, Income: 58985, Poverty: 8.0
Entry(169): State: Arkansas, Total Pop: 17041, County: Sharp County, Income: 31792, Poverty: 23.3
Entry(170): State: Arkansas, Total Pop: 78706, County: White County, Income: 44074, Poverty: 16.6
Entry(171): State: Arkansas, Total Pop: 251823, County: Benton County, Income: 61271, Poverty: 10.5
Entry(172): State: Arkansas, Total Pop: 11008, County: Chicot County, Income: 32412, Poverty: 29.4
Entry(173): State: Arkansas, Total Pop: 23992, County: Columbia County, Income: 37072, Poverty: 25.1
Entry(174): State: Arkansas, Total Pop: 17164, County: Cross County, Income: 41081, Poverty: 18.0
Entry(175): State: Arkansas, Total Pop: 17803, County: Franklin County, Income: 39472, Poverty: 21.9
Entry(176): State: Arkansas, Total Pop: 22154, County: Hempstead County, Income: 38701, Poverty: 25.3
Entry(177): State: Arkansas, Total Pop: 17429, County: Jackson County, Income: 32783, Poverty: 25.1
Entry(178): State: Arkansas, Total Pop: 9614, County: Lee County, Income: 27901, Poverty: 27.3
Entry(179): State: Arkansas, Total Pop: 15907, County: Madison County, Income: 42894, Poverty: 17.8
Entry(180): State: Arkansas, Total Pop: 9059, County: Montgomery County, Income: 35252, Poverty: 18.1
Entry(181): State: Arkansas, Total Pop: 19518, County: Phillips County, Income: 26652, Poverty: 33.0
Entry(182): State: Arkansas, Total Pop: 8309, County: Prairie County, Income: 41244, Poverty: 16.8
Entry(183): State: Arkansas, Total Pop: 10584, County: Scott County, Income: 37396, Poverty: 20.5
Entry(184): State: Arkansas, Total Pop: 12443, County: Stone County, Income: 33091, Poverty: 24.2
Entry(185): State: Arkansas, Total Pop: 6763, County: Woodruff County, Income: 30097, Poverty: 26.0
Entry(186): State: California, Total Pop: 45057, County: Calaveras County, Income: 54800, Poverty: 12.8
Entry(187): State: California, Total Pop: 971616, County: Fresno County, Income: 48730, Poverty: 25.4
Entry(188): State: California, Total Pop: 878744, County: Kern County, Income: 50826, Poverty: 22.6
Entry(189): State: California, Total Pop: 154440, County: Madera County, Income: 48210, Poverty: 22.1
Entry(190): State: California, Total Pop: 9017, County: Modoc County, Income: 39296, Poverty: 18.1
Entry(191): State: California, Total Pop: 3155816, County: Orange County, Income: 81851, Poverty: 12.1
Entry(192): State: California, Total Pop: 58671, County: San Benito County, Income: 80760, Poverty: 9.7
Entry(193): State: California, Total Pop: 280119, County: San Luis Obispo County, Income: 67175, Poverty: 13.8
Entry(194): State: California, Total Pop: 178919, County: Shasta County, Income: 47258, Poverty: 18.1
Entry(195): State: California, Total Pop: 535684, County: Stanislaus County, Income: 54260, Poverty: 17.2
Entry(196): State: California, Total Pop: 53899, County: Tuolumne County, Income: 54325, Poverty: 13.6
Entry(197): State: California, Total Pop: 1629615, County: Alameda County, Income: 85743, Poverty: 11.3
Entry(198): State: California, Total Pop: 21479, County: Colusa County, Income: 56481, Poverty: 14.0
Entry(199): State: California, Total Pop: 27935, County: Glenn County, Income: 46260, Poverty: 19.6
Entry(200): State: California, Total Pop: 150183, County: Kings County, Income: 49742, Poverty: 20.9
Entry(201): State: California, Total Pop: 260814, County: Marin County, Income: 104703, Poverty: 8.1
Entry(202): State: California, Total Pop: 14058, County: Mono County, Income: 60595, Poverty: 9.9
Entry(203): State: California, Total Pop: 374985, County: Placer County, Income: 80488, Poverty: 8.2
Entry(204): State: California, Total Pop: 2121220, County: San Bernardino County, Income: 57156, Poverty: 18.2
Entry(205): State: California, Total Pop: 763450, County: San Mateo County, Income: 105667, Poverty: 7.3
Entry(206): State: California, Total Pop: 2885, County: Sierra County, Income: 44190, Poverty: 12.3
Entry(207): State: California, Total Pop: 95583, County: Sutter County, Income: 54347, Poverty: 16.7
Entry(208): State: California, Total Pop: 847834, County: Ventura County, Income: 81972, Poverty: 10.3
Entry(209): State: California, Total Pop: 1203, County: Alpine County, Income: 63438, Poverty: 19.8
Entry(210): State: California, Total Pop: 1123678, County: Contra Costa County, Income: 88456, Poverty: 9.8
Entry(211): State: California, Total Pop: 135490, County: Humboldt County, Income: 43718, Poverty: 20.8
Entry(212): State: California, Total Pop: 64095, County: Lake County, Income: 40446, Poverty: 22.8
Entry(213): State: California, Total Pop: 17658, County: Mariposa County, Income: 51385, Poverty: 15.1
Entry(214): State: California, Total Pop: 433168, County: Monterey County, Income: 63249, Poverty: 14.7
Entry(215): State: California, Total Pop: 18724, County: Plumas County, Income: 50266, Poverty: 13.3
Entry(216): State: California, Total Pop: 3283665, County: San Diego County, Income: 70588, Poverty: 13.3
Entry(217): State: California, Total Pop: 442996, County: Santa Barbara County, Income: 68023, Poverty: 15.4
Entry(218): State: California, Total Pop: 43530, County: Siskiyou County, Income: 40884, Poverty: 20.7
Entry(219): State: California, Total Pop: 63247, County: Tehama County, Income: 42512, Poverty: 20.9
Entry(220): State: California, Total Pop: 212605, County: Yolo County, Income: 61621, Poverty: 19.4
Entry(221): State: California, Total Pop: 37306, County: Amador County, Income: 60636, Poverty: 10.6
Entry(222): State: California, Total Pop: 27442, County: Del Norte County, Income: 41287, Poverty: 23.2
Entry(223): State: California, Total Pop: 179957, County: Imperial County, Income: 44779, Poverty: 23.8
Entry(224): State: California, Total Pop: 31470, County: Lassen County, Income: 54083, Poverty: 14.6
Entry(225): State: California, Total Pop: 87497, County: Mendocino County, Income: 46528, Poverty: 19.1
Entry(226): State: California, Total Pop: 141005, County: Napa County, Income: 79637, Poverty: 8.2
Entry(227): State: California, Total Pop: 2355002, County: Riverside County, Income: 60807, Poverty: 15.6
Entry(228): State: California, Total Pop: 864263, County: San Francisco County, Income: 96265, Poverty: 11.7
Entry(229): State: California, Total Pop: 1911226, County: Santa Clara County, Income: 106761, Poverty: 8.6
Entry(230): State: California, Total Pop: 434981, County: Solano County, Income: 72950, Poverty: 11.5
Entry(231): State: California, Total Pop: 13037, County: Trinity County, Income: 36563, Poverty: 19.9
Entry(232): State: California, Total Pop: 74644, County: Yuba County, Income: 51776, Poverty: 18.5
Entry(233): State: California, Total Pop: 225207, County: Butte County, Income: 46516, Poverty: 20.5
Entry(234): State: California, Total Pop: 185015, County: El Dorado County, Income: 74885, Poverty: 9.8
Entry(235): State: California, Total Pop: 18195, County: Inyo County, Income: 51500, Poverty: 10.2
Entry(236): State: California, Total Pop: 10105722, County: Los Angeles County, Income: 61015, Poverty: 17.0
Entry(237): State: California, Total Pop: 267390, County: Merced County, Income: 46338, Poverty: 23.3
Entry(238): State: California, Total Pop: 98838, County: Nevada County, Income: 60610, Poverty: 12.1
Entry(239): State: California, Total Pop: 1495400, County: Sacramento County, Income: 60239, Poverty: 16.7
Entry(240): State: California, Total Pop: 724153, County: San Joaquin County, Income: 57813, Poverty: 17.1
Entry(241): State: California, Total Pop: 273263, County: Santa Cruz County, Income: 73663, Poverty: 14.7
Entry(242): State: California, Total Pop: 500943, County: Sonoma County, Income: 71769, Poverty: 10.7
Entry(243): State: California, Total Pop: 458809, County: Tulare County, Income: 44871, Poverty: 27.1
Entry(244): State: Colorado, Total Pop: 16345, County: Alamosa County, Income: 36315, Poverty: 27.8
Entry(245): State: Colorado, Total Pop: 316782, County: Boulder County, Income: 75669, Poverty: 13.1
Entry(246): State: Colorado, Total Pop: 8147, County: Conejos County, Income: 35657, Poverty: 21.1
Entry(247): State: Colorado, Total Pop: 678467, County: Denver County, Income: 60098, Poverty: 15.1
Entry(248): State: Colorado, Total Pop: 674826, County: El Paso County, Income: 62535, Poverty: 11.1
Entry(249): State: Colorado, Total Pop: 16215, County: Gunnison County, Income: 52651, Poverty: 14.1
Entry(250): State: Colorado, Total Pop: 1368, County: Kiowa County, Income: 39250, Poverty: 10.6
Entry(251): State: Colorado, Total Pop: 14151, County: Las Animas County, Income: 40586, Poverty: 17.0
Entry(252): State: Colorado, Total Pop: 13056, County: Moffat County, Income: 53010, Poverty: 10.1
Entry(253): State: Colorado, Total Pop: 4653, County: Ouray County, Income: 61333, Poverty: 10.4
Entry(254): State: Colorado, Total Pop: 163368, County: Pueblo County, Income: 42386, Poverty: 19.8
Entry(255): State: Colorado, Total Pop: 569, County: San Juan County, Income: 46397, Poverty: 3.3
Entry(256): State: Colorado, Total Pop: 4809, County: Washington County, Income: 51458, Poverty: 9.9
Entry(257): State: Colorado, Total Pop: 626612, County: Arapahoe County, Income: 69553, Poverty: 9.9
Entry(258): State: Colorado, Total Pop: 64283, County: Broomfield County, Income: 85639, Poverty: 5.2
Entry(259): State: Colorado, Total Pop: 3628, County: Costilla County, Income: 29000, Poverty: 29.6
Entry(260): State: Colorado, Total Pop: 1736, County: Dolores County, Income: 40352, Poverty: 14.1
Entry(261): State: Colorado, Total Pop: 46601, County: Fremont County, Income: 44712, Poverty: 15.8
Entry(262): State: Colorado, Total Pop: 820, County: Hinsdale County, Income: 53056, Poverty: 12.0
Entry(263): State: Colorado, Total Pop: 7846, County: Kit Carson County, Income: 45881, Poverty: 11.5
Entry(264): State: Colorado, Total Pop: 5520, County: Lincoln County, Income: 44725, Poverty: 14.0
Entry(265): State: Colorado, Total Pop: 25770, County: Montezuma County, Income: 45645, Poverty: 16.8
Entry(266): State: Colorado, Total Pop: 16900, County: Park County, Income: 61644, Poverty: 6.6
Entry(267): State: Colorado, Total Pop: 6557, County: Rio Blanco County, Income: 57991, Poverty: 11.8
Entry(268): State: Colorado, Total Pop: 7804, County: San Miguel County, Income: 62243, Poverty: 10.5
Entry(269): State: Colorado, Total Pop: 285729, County: Weld County, Income: 66489, Poverty: 11.2
Entry(270): State: Colorado, Total Pop: 12592, County: Archuleta County, Income: 48016, Poverty: 11.6
Entry(271): State: Colorado, Total Pop: 18818, County: Chaffee County, Income: 53762, Poverty: 9.6
Entry(272): State: Colorado, Total Pop: 5514, County: Crowley County, Income: 35292, Poverty: 24.6
Entry(273): State: Colorado, Total Pop: 320940, County: Douglas County, Income: 111154, Poverty: 3.6
Entry(274): State: Colorado, Total Pop: 57945, County: Garfield County, Income: 66503, Poverty: 9.6
Entry(275): State: Colorado, Total Pop: 6498, County: Huerfano County, Income: 35801, Poverty: 14.8
Entry(276): State: Colorado, Total Pop: 7481, County: Lake County, Income: 46176, Poverty: 12.8
Entry(277): State: Colorado, Total Pop: 21885, County: Logan County, Income: 44876, Poverty: 16.8
Entry(278): State: Colorado, Total Pop: 40908, County: Montrose County, Income: 44865, Poverty: 17.8
Entry(279): State: Colorado, Total Pop: 4327, County: Phillips County, Income: 50076, Poverty: 8.1
Entry(280): State: Colorado, Total Pop: 11430, County: Rio Grande County, Income: 38534, Poverty: 18.1
Entry(281): State: Colorado, Total Pop: 2357, County: Sedgwick County, Income: 49583, Poverty: 17.0
Entry(282): State: Colorado, Total Pop: 10109, County: Yuma County, Income: 44668, Poverty: 14.3
Entry(283): State: Colorado, Total Pop: 3581, County: Baca County, Income: 35898, Poverty: 19.5
Entry(284): State: Colorado, Total Pop: 2127, County: Cheyenne County, Income: 54907, Poverty: 11.8
Entry(285): State: Colorado, Total Pop: 4505, County: Custer County, Income: 41330, Poverty: 15.7
Entry(286): State: Colorado, Total Pop: 53726, County: Eagle County, Income: 83803, Poverty: 7.7
Entry(287): State: Colorado, Total Pop: 5793, County: Gilpin County, Income: 72544, Poverty: 5.6
